head_node	tail_node	length	geo_distance	head_lat_3395	head_long_3395	tail_lat_3395	tail_long_3395	head_lat_4326	head_long_4326	tail_lat_4326	tail_long_4326	head_comuna	head_comuna_amb	tail_comuna	tail_comuna_amb	head_date	head_dec_date	tail_date	tail_dec_date
18	19	0.004852999999999996	423.5464321930217	-3929868.69041625	-7861295.132215071	-4376128.919731542	-8121498.8201383315	-33.43668980436109	-70.61921570243192	-36.731053230179505	-72.95666520088923	Santiago	False	Penco	False	2021-09-18	2021.712614	2021-09-19	2021.7174670000002
18	20	0.013072	4.502558158355183	-3929868.69041625	-7861295.132215071	-3926213.755269437	-7857334.871835803	-33.43668980436109	-70.61921570243192	-33.40915795988456	-70.58364007815403	Santiago	False	Santiago	False	2021-09-18	2021.712614	2021-09-22	2021.725686
17	18	0.006867000000000012	2.956971658494641	-3932199.3605352766	-7863960.359806195	-3929868.69041625	-7861295.132215071	-33.45424164150887	-70.64315784923956	-33.43668980436109	-70.61921570243192	Puente Alto	False	Santiago	False	2021-09-15	2021.7057470000002	2021-09-18	2021.712614
17	21	0.008979999999999988	0.8380511731816497	-3932199.3605352766	-7863960.359806195	-3933108.066040011	-7864381.998797358	-33.45424164150887	-70.64315784923956	-33.461083959963105	-70.64694549674098	Puente Alto	False	Puente Alto	False	2021-09-15	2021.7057470000002	2021-09-18	2021.714727
16	17	0.00881499999999999	9.202134442209038	-3940850.866237187	-7870776.553715862	-3932199.3605352766	-7863960.359806195	-33.51936313859796	-70.70438876092533	-33.45424164150887	-70.64315784923956	Puente Alto	False	Puente Alto	False	2021-09-12	2021.696932	2021-09-15	2021.7057470000002
23	24	0.0019639999999999935	1.478884436246358	-4352653.45815803	-8029946.165235323	-4351706.604068574	-8028367.262740482	-36.5611193877856	-72.13423370887831	-36.554257381818324	-72.12005018644581	Chillan	False	Chillan	False	2021-09-18	2021.712763	2021-09-18	2021.714727
23	25	0.0019639999999999935	13.370674002200685	-4352653.45815803	-8029946.165235323	-4360447.930590017	-8044664.891465927	-36.5611193877856	-72.13423370887831	-36.61758383873976	-72.26645427623554	Chillan	False	Chillan	False	2021-09-18	2021.712763	2021-09-18	2021.714727
22	23	0.011512999999999995	5.3510864807075516	-4349690.480184039	-8023978.420502106	-4352653.45815803	-8029946.165235323	-36.539644155587766	-72.08062454582257	-36.5611193877856	-72.13423370887831	Chillan	False	Chillan	False	2021-09-13	2021.70125	2021-09-18	2021.712763
22	26	0.005258000000000013	3.3834062070374884	-4349690.480184039	-8023978.420502106	-4348007.656698005	-8020116.566647716	-36.539644155587766	-72.08062454582257	-36.527444616716814	-72.04593292239824	Chillan	False	Chillan	False	2021-09-13	2021.70125	2021-09-15	2021.706508
16	22	0.0043179999999999885	358.44358110292507	-3940850.866237187	-7870776.553715862	-4349690.480184039	-8023978.420502106	-33.51936313859796	-70.70438876092533	-36.539644155587766	-72.08062454582257	Puente Alto	False	Chillan	False	2021-09-12	2021.696932	2021-09-13	2021.70125
