head_node	tail_node	length	geo_distance	head_lat_3395	head_long_3395	tail_lat_3395	tail_long_3395	head_lat_4326	head_long_4326	tail_lat_4326	tail_long_4326	head_comuna	head_comuna_amb	tail_comuna	tail_comuna_amb	head_date	head_dec_date	tail_date	tail_dec_date
26	27	0.002742	3.1056302692433273	-4480397.062575055	-8058397.943070495	-4480858.950948838	-8054507.447564955	-37.48124539796752	-72.38982037777538	-37.484551917465886	-72.35487146202114	Los Angeles	False	Los Angeles	False	2021-05-14	2021.364753	2021-05-15	2021.367495
26	28	0.136988	22.399758206880236	-4480397.062575055	-8058397.943070495	-4480343.483206748	-8086656.637903264	-37.48124539796752	-72.38982037777538	-37.4808618298851	-72.64367255255084	Los Angeles	False	Negrete	False	2021-05-14	2021.364753	2021-07-03	2021.501741
25	26	0.115407	464.54206856577105	-3948796.250943393	-7854170.301635191	-4480397.062575055	-8058397.943070495	-33.579125975428006	-70.55521226036524	-37.48124539796752	-72.38982037777538	San Jode de Maipo	False	Los Angeles	False	2021-04-02	2021.249346	2021-05-14	2021.364753
25	29	0.000341	1.2802649449691696	-3948796.250943393	-7854170.301635191	-3948689.75441517	-7852635.606296799	-33.579125975428006	-70.55521226036524	-33.57832521590014	-70.54142585757579	San Jode de Maipo	False	San Jode de Maipo	False	2021-04-02	2021.249346	2021-04-02	2021.249687
24	25	0.013003	7.337328293668881	-3949451.165004371	-7862962.8532801205	-3948796.250943393	-7854170.301635191	-33.58405018400687	-70.63419709565574	-33.579125975428006	-70.55521226036524	Pirque	False	San Jode de Maipo	False	2021-03-28	2021.236343	2021-04-02	2021.249346
24	30	0.002385	1.7740704095214457	-3949451.165004371	-7862962.8532801205	-3950217.7611697773	-7864950.879369032	-33.58405018400687	-70.63419709565574	-33.5898137546626	-70.65205583786472	Pirque	False	Pirque	False	2021-03-28	2021.236343	2021-03-29	2021.2387280000003
23	24	0.01299	1.2507817060259263	-3948100.3039000775	-7863608.655280625	-3949451.165004371	-7862962.8532801205	-33.573892934714486	-70.63999843373142	-33.58405018400687	-70.63419709565574	Pirque	False	Pirque	False	2021-03-23	2021.2233529999999	2021-03-28	2021.236343
23	31	0.001676	227.12099567968315	-3948100.3039000775	-7863608.655280625	-4199875.165840431	-7973972.054787376	-33.573892934714486	-70.63999843373142	-35.44598903386692	-71.63140971957446	Pirque	False	Maule	False	2021-03-23	2021.2233529999999	2021-03-24	2021.2250290000002
22	23	0.012167	1.6394384285394987	-3946155.2443248564	-7863855.912926314	-3948100.3039000775	-7863608.655280625	-33.55926573317115	-70.64221958695381	-33.573892934714486	-70.63999843373142	Pirque	False	Pirque	False	2021-03-19	2021.211186	2021-03-23	2021.2233529999999
33	34	0.008167	1.225400970562558	-3944330.8748666435	-7863048.719755124	-3945274.819472209	-7861922.950217297	-33.5455438704804	-70.63496844732464	-33.55264395607344	-70.62485548750237	Pirque	False	Pirque	False	2021-05-09	2021.351108	2021-05-12	2021.359275
33	35	0.158852	1.1688516771112107	-3944330.8748666435	-7863048.719755124	-3943814.30454745	-7864353.244125211	-33.5455438704804	-70.63496844732464	-33.541658124659996	-70.64668718912618	Pirque	False	Pirque	False	2021-05-09	2021.351108	2021-07-06	2021.50996
