date	dec_date
2021-09-20	2021.718076
2021-09-20	2021.718076
2021-09-17	2021.71219
2021-09-17	2021.71219
2021-09-15	2021.705653
2021-09-15	2021.705653
2021-09-15	2021.704256
2021-09-15	2021.704256
2021-09-12	2021.69788
2021-09-12	2021.69788
2021-09-07	2021.684148
2021-09-17	2021.71042
2021-09-17	2021.71042
2021-09-13	2021.701002
2021-09-13	2021.701002
2021-09-13	2021.699801
2021-09-13	2021.699801
2021-09-10	2021.6925
2021-09-10	2021.6925
2021-09-07	2021.684148
2021-09-04	2021.676669
2021-09-09	2021.688612
2021-09-09	2021.688612
2021-09-06	2021.680991
2021-09-06	2021.680991
2021-09-04	2021.676669
2021-09-04	2021.676167
2021-09-04	2021.676167
2021-09-02	2021.670642
2021-09-25	2021.732157
2021-09-25	2021.732157
2021-09-22	2021.724674
2021-09-22	2021.724674
2021-09-02	2021.670642
2021-09-01	2021.66733
2021-09-21	2021.722712
2021-09-21	2021.722712
2021-09-12	2021.696511
2021-09-18	2021.714785
2021-09-18	2021.714785
2021-09-12	2021.696511
2021-09-01	2021.66733
2021-09-01	2021.667313
2021-09-01	2021.667313
2021-09-01	2021.666705
2021-09-18	2021.712407
2021-09-18	2021.712407
2021-09-01	2021.666705
2021-09-01	2021.666086
2021-09-14	2021.703913
2021-09-14	2021.703913
2021-09-08	2021.684958
2021-09-08	2021.684958
2021-09-01	2021.666086
2021-08-31	2021.663897
2021-09-11	2021.693865
2021-09-11	2021.693865
2021-09-09	2021.68778
2021-09-09	2021.68778
2021-09-06	2021.681664
2021-09-07	2021.683986
2021-09-07	2021.683986
2021-09-06	2021.681664
2021-09-04	2021.675783
2021-09-10	2021.691882
2021-09-10	2021.691882
2021-09-04	2021.675783
2021-08-31	2021.663897
2021-08-31	2021.66307
2021-09-19	2021.71636
2021-09-19	2021.71636
2021-09-15	2021.704972
2021-09-15	2021.704972
2021-09-15	2021.704217
2021-09-15	2021.704217
2021-09-08	2021.687043
2021-09-08	2021.687043
2021-08-31	2021.66307
2021-08-28	2021.655371
2021-09-18	2021.714401
2021-09-18	2021.714401
2021-09-01	2021.666054
2021-09-01	2021.666054
2021-08-28	2021.655371
2021-08-24	2021.646027
2021-09-11	2021.693548
2021-09-11	2021.693548
2021-09-09	2021.688738
2021-09-09	2021.688738
2021-09-09	2021.688548
2021-09-09	2021.688548
2021-09-07	2021.683352
2021-09-07	2021.683352
2021-09-07	2021.68273
2021-09-07	2021.68273
2021-09-07	2021.682234
2021-09-07	2021.682234
2021-09-05	2021.677412
2021-09-15	2021.704129
2021-09-15	2021.704129
2021-09-14	2021.704082
2021-09-14	2021.704082
2021-09-10	2021.692835
2021-09-12	2021.696667
2021-09-12	2021.696667
2021-09-10	2021.692835
2021-09-05	2021.677412
2021-09-03	2021.671628
2021-09-17	2021.711347
2021-09-17	2021.711347
