head_node	tail_node	length	geo_distance	head_lat_3395	head_long_3395	tail_lat_3395	tail_long_3395	head_lat_4326	head_long_4326	tail_lat_4326	tail_long_4326	head_comuna	head_comuna_amb	tail_comuna	tail_comuna_amb	head_date	head_dec_date	tail_date	tail_dec_date
53	54	0.0016170000000000073	9.166403069993388	-2087271.3551045235	-7767893.13681167	-2077739.1661151773	-7766600.55474788	-18.53998582196288	-69.78017130205056	-18.458289128934798	-69.76855983981174	Arica	False	Arica	False	2021-09-22	2021.724287	2021-09-22	2021.7259040000001
53	55	0.0016170000000000073	1940.4493969160467	-2087271.3551045235	-7767893.13681167	-4256173.650420932	-8037993.655614336	-18.53998582196288	-69.78017130205056	-35.85876244064317	-72.20652554494103	Arica	False	Cauquenes	False	2021-09-22	2021.724287	2021-09-22	2021.7259040000001
52	53	0.010190000000000005	16.406562090131388	-2104312.815666535	-7770431.120011274	-2087271.3551045235	-7767893.13681167	-18.685942991842552	-69.80297039304098	-18.53998582196288	-69.78017130205056	Arica	False	Arica	False	2021-09-18	2021.714097	2021-09-22	2021.724287
56	57	0.010235999999999995	4.899627808440518	-2108949.905793558	-7769980.666139847	-2113665.186088018	-7767900.316719684	-18.725636897467414	-69.79892389706605	-18.765990446350905	-69.78023580026164	Camarones	False	Camarones	False	2021-09-19	2021.715668	2021-09-22	2021.7259040000001
56	58	0.010235999999999995	1927.9859979877172	-2108949.905793558	-7769980.666139847	-4264497.214007652	-8052115.355359692	-18.725636897467414	-69.79892389706605	-35.919606974173526	-72.33338293213103	Camarones	False	Cauquenes	False	2021-09-19	2021.715668	2021-09-22	2021.7259040000001
52	56	0.001570999999999989	4.434288784433861	-2104312.815666535	-7770431.120011274	-2108949.905793558	-7769980.666139847	-18.685942991842552	-69.80297039304098	-18.725636897467414	-69.79892389706605	Arica	False	Camarones	False	2021-09-18	2021.714097	2021-09-19	2021.715668
51	52	0.0043400000000000105	4.6860238663675835	-2108469.4710388114	-7773085.027928881	-2104312.815666535	-7770431.120011274	-18.721524770736526	-69.82681085349131	-18.685942991842552	-69.80297039304098	Camarones	False	Arica	False	2021-09-17	2021.709757	2021-09-18	2021.714097
60	61	0.0023829999999999962	97.33066350541206	-2732619.0759818167	-7750988.047830328	-2813148.586990819	-7681180.4484238345	-23.971806479129004	-69.62831030393717	-24.63479202962683	-69.00121796899171	Antofagasta	False	Antofagasta	False	2021-09-22	2021.72352	2021-09-22	2021.725903
60	62	0.0023829999999999962	1342.790021962993	-2732619.0759818167	-7750988.047830328	-4251401.268300799	-8049310.794542439	-23.971806479129004	-69.62831030393717	-35.82385546931329	-72.30818913365722	Antofagasta	False	Cauquenes	False	2021-09-22	2021.72352	2021-09-22	2021.725903
59	60	0.00880800000000001	579.0276161440902	-2113904.006064823	-7773974.071804338	-2732619.0759818167	-7750988.047830328	-18.768034017034594	-69.83479727050707	-23.971806479129004	-69.62831030393717	Camarones	False	Antofagasta	False	2021-09-18	2021.714712	2021-09-22	2021.72352
59	63	0.0029720000000000024	0.8321173499472131	-2113904.006064823	-7773974.071804338	-2113970.0161367226	-7774851.394553688	-18.768034017034594	-69.83479727050707	-18.76859885752099	-69.84267839485554	Camarones	False	Camarones	False	2021-09-18	2021.714712	2021-09-19	2021.717684
51	59	0.004954999999999987	5.239518776873676	-2108469.4710388114	-7773085.027928881	-2113904.006064823	-7773974.071804338	-18.721524770736526	-69.82681085349131	-18.768034017034594	-69.83479727050707	Camarones	False	Camarones	False	2021-09-17	2021.709757	2021-09-18	2021.714712
50	51	0.007145999999999986	2.7101483442917917	-2107785.630938931	-7775865.900828049	-2108469.4710388114	-7773085.027928881	-18.715671486813516	-69.85179185977647	-18.721524770736526	-69.82681085349131	Camarones	False	Camarones	False	2021-09-14	2021.7026110000002	2021-09-17	2021.709757
64	65	6.70000000000115e-05	11.0030641610369	-5002830.36829082	-8036669.422149601	-4998988.268371833	-8022566.675859915	-41.125973362249326	-72.19462975332989	-41.09987038663414	-72.06794262792904	Puerto Varas	False	Puerto Varas	False	2021-09-16	2021.709398	2021-09-16	2021.7094650000001
64	66	6.70000000000115e-05	16.925773540286258	-5002830.36829082	-8036669.422149601	-5011001.129952314	-8057626.113150552	-41.125973362249326	-72.19462975332989	-41.18145021062416	-72.38288691163713	Puerto Varas	False	Puerto Varas	False	2021-09-16	2021.709398	2021-09-16	2021.7094650000001
50	64	0.0067869999999999875	2501.8589318373097	-2107785.630938931	-7775865.900828049	-5002830.36829082	-8036669.422149601	-18.715671486813516	-69.85179185977647	-41.125973362249326	-72.19462975332989	Camarones	False	Puerto Varas	False	2021-09-14	2021.7026110000002	2021-09-16	2021.709398
49	50	0.005113000000000006	3.000612439882396	-2105286.060865325	-7777798.432152029	-2107785.630938931	-7775865.900828049	-18.694274838853293	-69.86915208403019	-18.715671486813516	-69.85179185977647	Arica	False	Camarones	False	2021-09-12	2021.697498	2021-09-14	2021.7026110000002
69	70	0.005655999999999994	9.20237246539423	-2077574.330752298	-7770937.08009643	-2086483.4363577142	-7774683.107075225	-18.456876042281934	-69.80751550981749	-18.53323437236796	-69.84116664271524	Arica	False	Arica	False	2021-09-17	2021.712029	2021-09-19	2021.717685
69	71	0.005655999999999994	25.25762071739426	-2077574.330752298	-7770937.08009643	-2053728.866387599	-7759351.453788409	-18.456876042281934	-69.80751550981749	-18.252332020889327	-69.70344005793157	Arica	False	Arica	False	2021-09-17	2021.712029	2021-09-19	2021.717685
68	69	0.004525000000000001	11.62602137515842	-2088028.4488583438	-7777263.146634531	-2077574.330752298	-7770937.08009643	-18.54647288666991	-69.86434353241282	-18.456876042281934	-69.80751550981749	Arica	False	Arica	False	2021-09-16	2021.707504	2021-09-17	2021.712029
72	73	0.0008440000000000114	3.5493343549702416	-2105126.0162856663	-7804697.385245162	-2103476.474288011	-7801333.426242054	-18.692904742994248	-70.11078949093394	-18.6787828323248	-70.08057053305751	Arica	False	Arica	False	2021-09-19	2021.7168410000002	2021-09-19	2021.717685
72	74	0.0008440000000000114	11.380197766957657	-2105126.0162856663	-7804697.385245162	-2111028.116541452	-7815158.939131733	-18.692904742994248	-70.11078949093394	-18.743423507406007	-70.2047672284534	Arica	False	Arica	False	2021-09-19	2021.7168410000002	2021-09-19	2021.717685
68	72	0.009337000000000012	30.651560049161215	-2088028.4488583438	-7777263.146634531	-2105126.0162856663	-7804697.385245162	-18.54647288666991	-69.86434353241282	-18.692904742994248	-70.11078949093394	Arica	False	Arica	False	2021-09-16	2021.707504	2021-09-19	2021.7168410000002
67	68	0.005043999999999993	5.723149502956482	-2093901.0414801722	-7775987.4566823235	-2088028.4488583438	-7777263.146634531	-18.59678299941884	-69.85288381459416	-18.54647288666991	-69.86434353241282	Arica	False	Arica	False	2021-09-14	2021.70246	2021-09-16	2021.707504
76	77	0.004287000000000013	0.3316170863510583	-2101436.449069667	-7775809.060264457	-2101781.6641021525	-7775855.6467669215	-18.661316304674564	-69.85128125230615	-18.664272135287423	-69.85169974597812	Arica	False	Arica	False	2021-09-18	2021.713398	2021-09-19	2021.717685
76	78	0.004287000000000013	1654.0051197858006	-2101436.449069667	-7775809.060264457	-3940121.708421901	-7877138.300759101	-18.661316304674564	-69.85128125230615	-33.51387653913119	-70.76153730695177	Arica	False	San Bernardo	False	2021-09-18	2021.713398	2021-09-19	2021.717685
75	76	0.010560000000000014	8.806259514542209	-2092201.6569186798	-7775327.165741182	-2101436.449069667	-7775809.060264457	-18.582226028944042	-69.84695232015024	-18.661316304674564	-69.85128125230615	Arica	False	Arica	False	2021-09-14	2021.7028380000002	2021-09-18	2021.713398
79	80	0.003606999999999999	13.482977955581315	-2076498.7172025307	-7771488.986779759	-2062606.1598146744	-7768847.118967808	-18.447654824439354	-69.81247337190791	-18.32850919858888	-69.78874106956691	Arica	False	Arica	False	2021-09-18	2021.714077	2021-09-19	2021.717684
79	81	0.003606999999999999	1668.875958921933	-2076498.7172025307	-7771488.986779759	-3929660.413868406	-7870448.849836661	-18.447654824439354	-69.81247337190791	-33.435121138484256	-70.7014449468918	Arica	False	Santiago	False	2021-09-18	2021.714077	2021-09-19	2021.717684
75	79	0.011238999999999999	15.39892320279454	-2092201.6569186798	-7775327.165741182	-2076498.7172025307	-7771488.986779759	-18.582226028944042	-69.84695232015024	-18.447654824439354	-69.81247337190791	Arica	False	Arica	False	2021-09-14	2021.7028380000002	2021-09-18	2021.714077
67	75	0.00037799999999998946	1.7351846460027098	-2093901.0414801722	-7775987.4566823235	-2092201.6569186798	-7775327.165741182	-18.59678299941884	-69.85288381459416	-18.582226028944042	-69.84695232015024	Arica	False	Arica	False	2021-09-14	2021.70246	2021-09-14	2021.7028380000002
