Airport,City,Adm0,Adm0_ISO,Adm1,Adm1_abr,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,Mar_2021,Apr_2021,May_2021,June_2021,Jul_2021,Aug_2021,Sep_2021,Oct_2021,Nov_2021,Dec_2021,TOTAL
Santiago,PUNTA CANA,Dominican Republic,DOM,,,0,0,0,0,0,0,0,0,0,0,0,182,36,1097,1261,1018,3594
Santiago,QUITO,Ecuador,ECU,,,0,0,0,0,0,0,34,40,29,0,0,0,57,0,55,0,215
Santiago,RIO DE JANEIRO,Brazil,BRA,Rio de Janeiro,RJ,0,203,722,2359,4145,3744,817,40,55,117,51,543,1215,2005,4624,7613,28253
Santiago,SALVADOR BAHIA,Brazil,BRA,Bahia,BA,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,78
Santiago,SAN JUAN,Argentina,ARG,San Juan,SJ,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Santiago,SANTA CRUZ,Bolivia,BOL,,,0,437,426,1204,876,606,680,166,119,171,287,487,343,466,562,1270,8100
Santiago,SANTO DOMINGO,Dominican Republic,DOM,,,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1955
Santiago,SAO PAULO,Brazil,BRA,Sao Paulo,SP,0,4427,4889,8672,6933,6916,5419,1391,971,1141,2487,4620,5964,7101,11298,16997,89226
Santiago,SYDNEY,Australia,AUS,,,0,98,0,99,26,120,0,0,0,0,0,0,0,19,0,0,362
Santiago,TRUJILLO,Peru,PER,La Libertad,LL,0,488,725,1490,1155,929,922,61,0,0,435,855,627,870,1656,2997,13210
Punta Arenas,EL CALAFATE,Argentina,ARG,Santa Cruz,SCr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
Punta Arenas,USHUAIA,Argentina,ARG,Tierra del Fuego,TF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
La Serena,BARRANQUILLA,Colombia,COL,Atlantico,At,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,26
La Serena,LIMA,Peru,PER,Lima,Li,0,39,84,0,0,0,0,0,0,0,0,0,0,33,0,0,156
Iquique,ASUNCION,Paraguay,PRY,,,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,48
Iquique,BOGOTA,Colombia,COL,Distrito Capital,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34
Iquique,CARACAS,Venezuela,VEN,,,0,0,0,0,0,0,0,0,0,102,0,0,0,0,65,0,167
Iquique,LA PAZ,Bolivia,BOL,,,126,197,168,490,122,29,0,34,0,0,0,0,0,0,0,0,1166
Iquique,PT AU PRINCE,Haiti,HTI,,,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,0,447
Iquique,SANTA CRUZ,Bolivia,BOL,,,0,100,165,314,304,348,397,91,150,190,180,79,79,325,316,503,3541
Concepcion,ASUNCION,Paraguay,PRY,,,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,36
Concepcion,BUENOS AIRES,Argentina,ARG,Buenos Aires,BA,0,0,0,0,0,0,0,38,39,0,0,0,0,0,0,0,77
Concepcion,MONTEVIDEO,Uruguay,URY,,,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Arica,PT AU PRINCE,Haiti,HTI,,,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,134
Antofagasta,BOGOTA,Colombia,COL,Distrito Capital,DC,0,0,58,66,0,0,0,0,0,0,0,0,0,0,0,0,124
Antofagasta,CALI,Colombia,COL,Valle del Cauca,VC,0,0,129,354,311,237,372,0,0,0,138,0,0,211,555,1582,3889
