crossing,commune,region,by,type,year,month,value
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,exit,2021,enero,"99,030"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,exit,2021,enero,0
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,exit,2021,enero,"6,255"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,exit,2021,enero,"3,292"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,exit,2021,enero,0
Huemules/Balmaceda/,Coyhaique,Aysén,land,exit,2021,enero,472
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,exit,2021,enero,"1,780"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,exit,2021,enero,"2,817"
Paso De Chile Chico,Chile Chico,Aysén,land,exit,2021,enero,79
Paso Jama,San Pedro de Atacama,Antofagasta,land,exit,2021,enero,320
Paso Los Libertadores,Los Andes,Valparaíso,land,exit,2021,enero,"9,042"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,exit,2021,enero,"11,256"
Paso Pehuenche,Curicó,Maule,land,exit,2021,enero,73
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,exit,2021,enero,"1,282"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,exit,2021,enero,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,exit,2021,enero,1
Paso San Francisco - Copiapo,Copiapó,Atacama,land,exit,2021,enero,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,exit,2021,enero,"10,518"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,exit,2021,enero,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,exit,2021,enero,661
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,exit,2021,enero,0
Caleta Patillos,Iquique,Tarapacá,sea,exit,2021,enero,20
Puerto Angamos,Mejillones,Antofagasta,sea,exit,2021,enero,19
Puerto Antofagasta,Antofagasta,Antofagasta,sea,exit,2021,enero,0
Puerto Arica,Arica,Arica y Parinacota,sea,exit,2021,enero,114
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,exit,2021,enero,51
Puerto Calbuco,Calbuco,Los Lagos,sea,exit,2021,enero,21
Puerto Caldera - Copiapo,Caldera,Atacama,sea,exit,2021,enero,141
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,exit,2021,enero,12
Puerto Coloso,Antofagasta,Antofagasta,sea,exit,2021,enero,40
Puerto Coquimbo,Coquimbo,Coquimbo,sea,exit,2021,enero,0
Puerto Coronel,Coronel,Bío Bío,sea,exit,2021,enero,0
Puerto De Corral,Corral,Los Ríos,sea,exit,2021,enero,44
Puerto Iquique,Iquique,Tarapacá,sea,exit,2021,enero,0
Puerto Lirquen,Penco,Bío Bío,sea,exit,2021,enero,80
Puerto Mejillones,Mejillones,Antofagasta,sea,exit,2021,enero,0
