"source","Adm0","month","passenger_volume","airport"
"Venezuela","Venezuela","Nov_2020",61,"SCL"
"Peru","Peru","Nov_2020",40,"SCL"
"Bolivia","Bolivia","Nov_2020",NA,"SCL"
"Argentina","Argentina","Nov_2020",0,"SCL"
"Parana","Brazil","Nov_2020",0,"SCL"
"Texas","United States of America","Nov_2020",0,"SCL"
"Santa Catarina","Brazil","Nov_2020",0,"SCL"
"Goias","Brazil","Nov_2020",0,"SCL"
"Ecuador","Ecuador","Nov_2020",1266,"SCL"
"Texas","United States of America","Nov_2020",1804,"SCL"
"Parana","Brazil","Nov_2020",0,"SCL"
"Bolivia","Bolivia","Nov_2020",438,"SCL"
"Colombia","Colombia","Nov_2020",39,"SCL"
"Peru","Peru","Nov_2020",12378,"SCL"
"United Kingdom","United Kingdom","Nov_2020",46,"SCL"
"California","United States of America","Nov_2020",0,"SCL"
"Spain","Spain","Nov_2020",2132,"SCL"
"Colombia","Colombia","Nov_2020",0,"SCL"
"Argentina","Argentina","Nov_2020",4,"SCL"
"Florida","United States of America","Nov_2020",13423,"SCL"
"Uruguay","Uruguay","Nov_2020",631,"SCL"
"India","India","Nov_2020",0,"SCL"
"New York","United States of America","Nov_2020",439,"SCL"
"French Polynesia","French Polynesia","Nov_2020",0,"SCL"
"France","France","Nov_2020",288,"SCL"
"Colombia","Colombia","Nov_2020",0,"SCL"
"Rio Grande do Sul","Brazil","Nov_2020",0,"SCL"
"Haiti","Haiti","Nov_2020",0,"SCL"
"Dominican Republic","Dominican Republic","Nov_2020",0,"SCL"
"Ecuador","Ecuador","Nov_2020",0,"SCL"
"Rio de Janeiro","Brazil","Nov_2020",722,"SCL"
"Bahia","Brazil","Nov_2020",0,"SCL"
"Argentina","Argentina","Nov_2020",0,"SCL"
"Bolivia","Bolivia","Nov_2020",426,"SCL"
"Dominican Republic","Dominican Republic","Nov_2020",0,"SCL"
"Sao Paulo","Brazil","Nov_2020",4889,"SCL"
"Australia","Australia","Nov_2020",0,"SCL"
"Peru","Peru","Nov_2020",725,"SCL"
"Netherlands","Netherlands","Dec_2020",1016,"SCL"
"Peru","Peru","Dec_2020",556,"SCL"
"Praguay","Praguay","Dec_2020",0,"SCL"
"Georgia","United States of America","Dec_2020",968,"SCL"
"New Zaeland","New Zaeland","Dec_2020",0,"SCL"
"Spain","Spain","Dec_2020",73,"SCL"
"Colombia","Colombia","Dec_2020",42,"SCL"
"Colombia","Colombia","Dec_2020",15224,"SCL"
"France","France","Dec_2020",0,"SCL"
"Australia","Australia","Dec_2020",0,"SCL"
"Argentina","Argentina","Dec_2020",11373,"SCL"
"Mexico","Mexico","Dec_2020",2123,"SCL"
"Panama","Panama","Dec_2020",8652,"SCL"
"Colombia","Colombia","Dec_2020",1711,"SCL"
"Mexico","Mexico","Dec_2020",0,"SCL"
"Venezuela","Venezuela","Dec_2020",420,"SCL"
"Peru","Peru","Dec_2020",0,"SCL"
"Bolivia","Bolivia","Dec_2020",0,"SCL"
"Argentina","Argentina","Dec_2020",0,"SCL"
"Parana","Brazil","Dec_2020",0,"SCL"
"Texas","United States of America","Dec_2020",0,"SCL"
"Santa Catarina","Brazil","Dec_2020",1042,"SCL"
"Goias","Brazil","Dec_2020",0,"SCL"
"Ecuador","Ecuador","Dec_2020",1498,"SCL"
"Texas","United States of America","Dec_2020",2560,"SCL"
"Parana","Brazil","Dec_2020",50,"SCL"
"Bolivia","Bolivia","Dec_2020",551,"SCL"
"Colombia","Colombia","Dec_2020",0,"SCL"
"Peru","Peru","Dec_2020",24694,"SCL"
"United Kingdom","United Kingdom","Dec_2020",262,"SCL"
"California","United States of America","Dec_2020",461,"SCL"
"Spain","Spain","Dec_2020",4715,"SCL"
"Colombia","Colombia","Dec_2020",0,"SCL"
"Argentina","Argentina","Dec_2020",0,"SCL"
"Florida","United States of America","Dec_2020",14465,"SCL"
"Uruguay","Uruguay","Dec_2020",1140,"SCL"
"India","India","Dec_2020",0,"SCL"
"New York","United States of America","Dec_2020",662,"SCL"
"French Polynesia","French Polynesia","Dec_2020",0,"SCL"
"France","France","Dec_2020",1241,"SCL"
"Colombia","Colombia","Dec_2020",0,"SCL"
"Rio Grande do Sul","Brazil","Dec_2020",0,"SCL"
"Haiti","Haiti","Dec_2020",0,"SCL"
"Dominican Republic","Dominican Republic","Dec_2020",0,"SCL"
"Ecuador","Ecuador","Dec_2020",0,"SCL"
"Rio de Janeiro","Brazil","Dec_2020",2359,"SCL"
"Bahia","Brazil","Dec_2020",78,"SCL"
"Argentina","Argentina","Dec_2020",0,"SCL"
"Bolivia","Bolivia","Dec_2020",1204,"SCL"
"Dominican Republic","Dominican Republic","Dec_2020",0,"SCL"
"Sao Paulo","Brazil","Dec_2020",8672,"SCL"
"Australia","Australia","Dec_2020",99,"SCL"
"Peru","Peru","Dec_2020",1490,"SCL"
"Netherlands","Netherlands","Jan_2021",1069,"SCL"
"Peru","Peru","Jan_2021",563,"SCL"
"Praguay","Praguay","Jan_2021",48,"SCL"
"Georgia","United States of America","Jan_2021",3269,"SCL"
