transmission_lineage	last_sampling_date	comuna	evalTimes	ancTimes
Mu_TL_26	2021.7232876712328	Antofagasta	1.10033685156077,1.08121116850066,1.06208548544055,1.04295980238044,1.02383411932033,1.00470843626022,0.985582753200106,0.982850512762752,0.963724829702869,0.944599146642759,0.925473463582648,0.906347780522538,0.887222097462427,0.868096414402316,0.848970731342206,0.829845048282095,0.810719365221985,0.791593682161874,0.772467999101764,0.753342316041653,0.734216632981543,0.728752152107063,0.709589041095796,0.690410958904067,0.68767123287671,0.668493150684753,0.649315068493024,0.630136986301295,0.610958904109566,0.597260273972552,0.578082191780823,0.558904109588866,0.539726027397137,0.520547945205408,0.501369863013679,0.490410958904022,0.471232876712293,0.452054794520564,0.432876712328607,0.413698630136878,0.399999999999864,0.380821917808134,0.361643835616405,0.342465753424676,0.331506849315019,0.31232876712329,0.293150684931334,0.273972602739605,0.254794520547875,0.235616438356146,0.216438356164417,0.197260273972461,0.178082191780732,0.158904109589002,0.139726027397273,0.120547945205317,0.101369863013588,0.0821917808218586,0.0630136986301295,0.0438356164384004,0.0246575342464439,0.00547945205471478	1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,0.982850512762752,0.982850512762752,0.982850512762752,0.982850512762752,0.982850512762752,0.982850512762752,0.868096414402316,0.868096414402316,0.868096414402316,0.868096414402316,0.868096414402316,0.868096414402316,0.868096414402316,0.868096414402316,0.728752152107063,0.728752152107063,0.728752152107063,0.68767123287671,0.68767123287671,0.68767123287671,0.68767123287671,0.68767123287671,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.490410958904022,0.490410958904022,0.490410958904022,0.490410958904022,0.490410958904022,0.399999999999864,0.399999999999864,0.399999999999864,0.399999999999864,0.331506849315019,0.331506849315019,0.331506849315019,0.331506849315019,0.331506849315019,0.331506849315019,0.331506849315019,0.331506849315019,0.331506849315019,0.331506849315019,0.331506849315019,0.331506849315019,0.331506849315019,0.331506849315019,0.331506849315019,0.331506849315019,0.331506849315019
Mu_TL_26	2021.7232876712328	Arica	1.10033685156077,1.08121116850066,1.06208548544055,1.04295980238044,1.02383411932033,1.00470843626022,0.985582753200106,0.966457070139995,0.947331387079885,0.928205704019774,0.909080020959664,0.889954337899553,0.870828654839443,0.868096414402316,0.848970731342206,0.829845048282095,0.810719365221985,0.791593682161874,0.772467999101764,0.753342316041653,0.734216632981543,0.715068493150511,0.695890410958782,0.68767123287671,0.668493150684753,0.649315068493024,0.630136986301295,0.610958904109566,0.591780821917837,0.57260273972588,0.553424657534151,0.542465753424494,0.523287671232765,0.504109589041036,0.484931506849307,0.465753424657578,0.446575342465621,0.427397260273892,0.408219178082163,0.399999999999864,0.380821917808134,0.361643835616405,0.342465753424676,0.32328767123272,0.304109589040991,0.284931506849261,0.265753424657532,0.246575342465576,0.227397260273847,0.208219178082118,0.189041095890389,0.175342465753374,0.156164383561645,0.136986301369689,0.117808219177959,0.0986301369862304,0.0794520547945012,0.0602739726027721,0.0410958904108156,0.0219178082190865,0.00273972602735739	1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,0.868096414402316,0.868096414402316,0.829845048282095,0.829845048282095,0.829845048282095,0.829845048282095,0.829845048282095,0.829845048282095,0.829845048282095,0.829845048282095,0.68767123287671,0.68767123287671,0.68767123287671,0.630136986301295,0.630136986301295,0.630136986301295,0.630136986301295,0.630136986301295,0.542465753424494,0.542465753424494,0.542465753424494,0.542465753424494,0.542465753424494,0.542465753424494,0.542465753424494,0.542465753424494,0.399999999999864,0.399999999999864,0.399999999999864,0.399999999999864,0.399999999999864,0.399999999999864,0.399999999999864,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.265753424657532,0.175342465753374,0.175342465753374,0.175342465753374,0.175342465753374,0.175342465753374,0.175342465753374,0.175342465753374,0.175342465753374,0.175342465753374
Mu_TL_26	2021.7232876712328	Concepcion	1.10033685156077,1.08667564937491,1.0675499663148,1.04842428325469,1.02929860019458,1.01017291713447,0.991047234074358,0.971921551014248,0.952795867954137,0.933670184894027,0.925473463582648,0.906347780522538,0.887222097462427,0.868096414402316,0.848970731342206,0.829845048282095,0.810719365221985,0.791593682161874,0.772467999101764,0.753342316041653,0.734216632981543,0.715068493150511,0.695890410958782,0.68767123287671,0.668493150684753,0.649315068493024,0.630136986301295,0.610958904109566,0.591780821917837,0.57260273972588,0.553424657534151,0.547945205479436,0.528767123287707,0.509589041095751,0.490410958904022,0.471232876712293,0.452054794520564,0.432876712328607,0.413698630136878,0.394520547945149,0.37534246575342,0.369863013698478,0.350684931506748,0.331506849315019,0.31232876712329,0.293150684931334,0.273972602739605,0.254794520547875,0.235616438356146,0.216438356164417,0.208219178082118,0.189041095890389,0.169863013698659,0.150684931506703,0.131506849314974,0.112328767123245,0.0931506849315156,0.0739726027395591,0.05479452054783,0.0356164383561008,0.0164383561643717	1.11946253462088,1.11946253462088,1.08667564937491,1.0675499663148,1.0675499663148,1.0675499663148,1.0675499663148,1.0675499663148,1.0675499663148,1.0675499663148,1.0675499663148,0.925473463582648,0.925473463582648,0.925473463582648,0.925473463582648,0.925473463582648,0.925473463582648,0.925473463582648,0.925473463582648,0.925473463582648,0.925473463582648,0.925473463582648,0.925473463582648,0.925473463582648,0.68767123287671,0.68767123287671,0.68767123287671,0.68767123287671,0.610958904109566,0.610958904109566,0.610958904109566,0.610958904109566,0.547945205479436,0.547945205479436,0.547945205479436,0.547945205479436,0.547945205479436,0.547945205479436,0.547945205479436,0.547945205479436,0.547945205479436,0.547945205479436,0.369863013698478,0.369863013698478,0.369863013698478,0.369863013698478,0.369863013698478,0.369863013698478,0.369863013698478,0.369863013698478,0.369863013698478,0.208219178082118,0.208219178082118,0.208219178082118,0.208219178082118,0.208219178082118,0.208219178082118,0.208219178082118,0.208219178082118,0.208219178082118,0.208219178082118
Mu_TL_26	2021.7232876712328	Copiapo	1.10033685156077,1.08121116850066,1.06208548544055,1.04295980238044,1.02383411932033,1.00470843626022,0.985582753200106,0.969189310577121,0.950063627517011,0.9309379444569,0.91181226139679,0.892686578336679,0.879025376150821,0.859899693090711,0.8407740100306,0.82164832697049,0.802522643910379,0.783396960850268,0.764271277790158,0.745145594730047,0.726019911669937,0.706849315068439,0.68767123287671,0.668493150684753,0.649315068493024,0.630136986301295,0.62465753424658,0.605479452054624,0.597260273972552,0.578082191780823,0.558904109588866,0.539726027397137,0.520547945205408,0.501369863013679,0.48219178082195,0.463013698629993,0.452054794520564,0.432876712328607,0.413698630136878,0.394520547945149,0.37534246575342,0.356164383561691,0.342465753424676,0.32328767123272,0.304109589040991,0.284931506849261,0.265753424657532,0.246575342465576,0.227397260273847,0.208219178082118,0.189041095890389,0.169863013698659,0.153424657534288,0.134246575342331,0.115068493150602,0.095890410958873,0.0767123287671438,0.0575342465751874,0.0383561643834582,0.0191780821917291	1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,0.969189310577121,0.969189310577121,0.969189310577121,0.969189310577121,0.969189310577121,0.879025376150821,0.879025376150821,0.879025376150821,0.879025376150821,0.879025376150821,0.879025376150821,0.879025376150821,0.879025376150821,0.879025376150821,0.879025376150821,0.68767123287671,0.68767123287671,0.68767123287671,0.68767123287671,0.62465753424658,0.62465753424658,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.452054794520564,0.452054794520564,0.452054794520564,0.452054794520564,0.452054794520564,0.452054794520564,0.342465753424676,0.342465753424676,0.342465753424676,0.342465753424676,0.342465753424676,0.342465753424676,0.342465753424676,0.342465753424676,0.342465753424676,0.342465753424676,0.153424657534288,0.153424657534288,0.153424657534288,0.153424657534288,0.153424657534288,0.153424657534288,0.153424657534288
Mu_TL_26	2021.7232876712328	Iquique	1.10033685156077,1.08121116850066,1.06208548544055,1.04295980238044,1.02383411932033,1.00470843626022,0.985582753200106,0.969189310577121,0.950063627517011,0.9309379444569,0.91181226139679,0.892686578336679,0.873560895276569,0.854435212216458,0.835309529156348,0.816183846096237,0.797058163036127,0.777932479976016,0.758806796915906,0.753342316041653,0.734216632981543,0.715068493150511,0.695890410958782,0.676712328767053,0.657534246575324,0.638356164383595,0.619178082191638,0.599999999999909,0.597260273972552,0.578082191780823,0.558904109588866,0.539726027397137,0.520547945205408,0.509589041095751,0.490410958904022,0.471232876712293,0.452054794520564,0.432876712328607,0.413698630136878,0.394520547945149,0.37534246575342,0.356164383561691,0.350684931506748,0.331506849315019,0.31232876712329,0.293150684931334,0.273972602739605,0.254794520547875,0.235616438356146,0.216438356164417,0.197260273972461,0.178082191780732,0.158904109589002,0.139726027397273,0.120547945205317,0.101369863013588,0.0821917808218586,0.0630136986301295,0.0438356164384004,0.0246575342464439,0.00547945205471478	1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,0.969189310577121,0.969189310577121,0.969189310577121,0.969189310577121,0.969189310577121,0.969189310577121,0.969189310577121,0.969189310577121,0.969189310577121,0.969189310577121,0.969189310577121,0.969189310577121,0.753342316041653,0.753342316041653,0.715068493150511,0.715068493150511,0.715068493150511,0.715068493150511,0.715068493150511,0.715068493150511,0.715068493150511,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.509589041095751,0.350684931506748,0.350684931506748,0.350684931506748,0.350684931506748,0.350684931506748,0.350684931506748,0.350684931506748,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417
Mu_TL_26	2021.7232876712328	Los_Angeles	1.10033685156077,1.08121116850066,1.06208548544055,1.04295980238044,1.02383411932033,1.00470843626022,0.985582753200106,0.966457070139995,0.947331387079885,0.928205704019774,0.909080020959664,0.889954337899553,0.870828654839443,0.854435212216458,0.835309529156348,0.816183846096237,0.797058163036127,0.777932479976016,0.758806796915906,0.739681113855795,0.720547945205453,0.701369863013724,0.682191780821768,0.663013698630039,0.657534246575324,0.638356164383595,0.619178082191638,0.599999999999909,0.586301369862895,0.567123287671166,0.547945205479436,0.528767123287707,0.509589041095751,0.490410958904022,0.471232876712293,0.452054794520564,0.432876712328607,0.413698630136878,0.394520547945149,0.37534246575342,0.356164383561691,0.350684931506748,0.331506849315019,0.31232876712329,0.298630136986276,0.279452054794547,0.26027397260259,0.241095890410861,0.221917808219132,0.216438356164417,0.197260273972461,0.178082191780732,0.158904109589002,0.139726027397273,0.120547945205317,0.101369863013588,0.0821917808218586,0.0630136986301295,0.0438356164384004,0.0246575342464439,0.00547945205471478	1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,0.854435212216458,0.854435212216458,0.854435212216458,0.854435212216458,0.777932479976016,0.777932479976016,0.777932479976016,0.777932479976016,0.777932479976016,0.777932479976016,0.777932479976016,0.657534246575324,0.657534246575324,0.657534246575324,0.657534246575324,0.586301369862895,0.586301369862895,0.586301369862895,0.586301369862895,0.586301369862895,0.586301369862895,0.586301369862895,0.586301369862895,0.586301369862895,0.586301369862895,0.586301369862895,0.586301369862895,0.586301369862895,0.350684931506748,0.350684931506748,0.350684931506748,0.298630136986276,0.298630136986276,0.298630136986276,0.298630136986276,0.298630136986276,0.216438356164417,0.216438356164417,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732
Mu_TL_26	2021.7232876712328	Pirque	1.10033685156077,1.08121116850066,1.06208548544055,1.04295980238044,1.02383411932033,1.00470843626022,0.985582753200106,0.966457070139995,0.947331387079885,0.928205704019774,0.909080020959664,0.889954337899553,0.870828654839443,0.851702971779332,0.832577288719222,0.813451605659111,0.794325922599,0.783396960850268,0.764271277790158,0.745145594730047,0.726019911669937,0.715068493150511,0.695890410958782,0.676712328767053,0.657534246575324,0.638356164383595,0.630136986301295,0.610958904109566,0.591780821917837,0.57260273972588,0.553424657534151,0.534246575342422,0.515068493150693,0.495890410958737,0.476712328767007,0.457534246575278,0.438356164383549,0.41917808219182,0.399999999999864,0.380821917808134,0.361643835616405,0.342465753424676,0.32328767123272,0.304109589040991,0.284931506849261,0.265753424657532,0.246575342465576,0.232876712328789,0.213698630136832,0.194520547945103,0.178082191780732,0.158904109589002,0.139726027397273,0.120547945205317,0.101369863013588,0.0821917808218586,0.0630136986301295,0.0438356164384004,0.0246575342464439,0.00547945205471478	1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,0.783396960850268,0.783396960850268,0.783396960850268,0.783396960850268,0.715068493150511,0.715068493150511,0.715068493150511,0.715068493150511,0.715068493150511,0.630136986301295,0.630136986301295,0.630136986301295,0.630136986301295,0.630136986301295,0.630136986301295,0.630136986301295,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.232876712328789,0.232876712328789,0.232876712328789,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732
Mu_TL_26	2021.7232876712328	Puente_Alto	1.10033685156077,1.08121116850066,1.06208548544055,1.04295980238044,1.02383411932033,1.00470843626022,0.985582753200106,0.982850512762752,0.963724829702869,0.944599146642759,0.925473463582648,0.906347780522538,0.887222097462427,0.879025376150821,0.859899693090711,0.8407740100306,0.82164832697049,0.802522643910379,0.783396960850268,0.764271277790158,0.745145594730047,0.726019911669937,0.706849315068439,0.68767123287671,0.668493150684753,0.649315068493024,0.630136986301295,0.610958904109566,0.591780821917837,0.57260273972588,0.553424657534151,0.534246575342422,0.515068493150693,0.495890410958737,0.476712328767007,0.457534246575278,0.438356164383549,0.41917808219182,0.399999999999864,0.380821917808134,0.361643835616405,0.342465753424676,0.32328767123272,0.304109589040991,0.284931506849261,0.265753424657532,0.246575342465576,0.232876712328789,0.213698630136832,0.194520547945103,0.178082191780732,0.158904109589002,0.139726027397273,0.120547945205317,0.101369863013588,0.0821917808218586,0.0630136986301295,0.0438356164384004,0.0246575342464439,0.00547945205471478	1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,0.982850512762752,0.982850512762752,0.982850512762752,0.982850512762752,0.982850512762752,0.982850512762752,0.879025376150821,0.879025376150821,0.879025376150821,0.879025376150821,0.879025376150821,0.783396960850268,0.783396960850268,0.783396960850268,0.783396960850268,0.783396960850268,0.783396960850268,0.783396960850268,0.783396960850268,0.783396960850268,0.610958904109566,0.610958904109566,0.610958904109566,0.553424657534151,0.553424657534151,0.553424657534151,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.495890410958737,0.232876712328789,0.232876712328789,0.232876712328789,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732,0.178082191780732
Mu_TL_26	2021.7232876712328	Puerto_Montt	1.10033685156077,1.08121116850066,1.06208548544055,1.04295980238044,1.02383411932033,1.00470843626022,0.985582753200106,0.966457070139995,0.947331387079885,0.928205704019774,0.909080020959664,0.889954337899553,0.870828654839443,0.851702971779332,0.832577288719222,0.813451605659111,0.794325922599,0.791593682161874,0.772467999101764,0.753342316041653,0.734216632981543,0.715068493150511,0.695890410958782,0.68767123287671,0.668493150684753,0.649315068493024,0.630136986301295,0.610958904109566,0.597260273972552,0.578082191780823,0.558904109588866,0.539726027397137,0.520547945205408,0.501369863013679,0.48219178082195,0.463013698629993,0.443835616438264,0.424657534246535,0.405479452054806,0.386301369862849,0.36712328767112,0.347945205479391,0.328767123287662,0.309589041095933,0.290410958903976,0.271232876712247,0.252054794520518,0.232876712328789,0.213698630136832,0.208219178082118,0.189041095890389,0.169863013698659,0.150684931506703,0.131506849314974,0.112328767123245,0.0931506849315156,0.0739726027395591,0.05479452054783,0.0356164383561008,0.0164383561643717	1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,0.791593682161874,0.791593682161874,0.791593682161874,0.791593682161874,0.791593682161874,0.791593682161874,0.68767123287671,0.68767123287671,0.68767123287671,0.68767123287671,0.68767123287671,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.597260273972552,0.208219178082118,0.208219178082118,0.208219178082118,0.208219178082118,0.208219178082118,0.208219178082118,0.208219178082118,0.208219178082118,0.208219178082118,0.208219178082118
Mu_TL_26	2021.7232876712328	Requinoa	1.10033685156077,1.08121116850066,1.06208548544055,1.04295980238044,1.02383411932033,1.00470843626022,0.985582753200106,0.966457070139995,0.947331387079885,0.928205704019774,0.909080020959664,0.889954337899553,0.870828654839443,0.851702971779332,0.832577288719222,0.813451605659111,0.794325922599,0.77520023953889,0.756074556478779,0.736948873418669,0.717808219178096,0.698630136986139,0.67945205479441,0.660273972602681,0.649315068493024,0.630136986301295,0.610958904109566,0.591780821917837,0.57260273972588,0.553424657534151,0.534246575342422,0.515068493150693,0.495890410958737,0.476712328767007,0.457534246575278,0.438356164383549,0.41917808219182,0.399999999999864,0.380821917808134,0.361643835616405,0.342465753424676,0.32328767123272,0.304109589040991,0.284931506849261,0.265753424657532,0.246575342465576,0.227397260273847,0.216438356164417,0.197260273972461,0.178082191780732,0.158904109589002,0.139726027397273,0.120547945205317,0.101369863013588,0.0821917808218586,0.0630136986301295,0.0438356164384004,0.0246575342464439,0.00547945205471478	1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,1.11946253462088,0.649315068493024,0.649315068493024,0.649315068493024,0.649315068493024,0.57260273972588,0.57260273972588,0.534246575342422,0.534246575342422,0.534246575342422,0.534246575342422,0.457534246575278,0.457534246575278,0.457534246575278,0.457534246575278,0.457534246575278,0.457534246575278,0.457534246575278,0.457534246575278,0.457534246575278,0.457534246575278,0.265753424657532,0.265753424657532,0.265753424657532,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417,0.216438356164417
