State,week,new_cases
New York,2021-09-26,22978
New York,2021-10-03,23779
New York,2021-10-10,23397
New York,2021-10-17,20229
New York,2021-10-24,20178
New York,2021-10-31,2794
Texas,2020-11-01,59166
Texas,2020-11-08,73242
Texas,2020-11-15,83368
Texas,2020-11-22,75810
Texas,2020-11-29,105276
Texas,2020-12-06,99441
Texas,2020-12-13,109514
Texas,2020-12-20,86663
Texas,2020-12-27,116695
Texas,2021-01-03,161305
Texas,2021-01-10,159009
Texas,2021-01-17,131401
Texas,2021-01-24,120181
Texas,2021-01-31,127641
Texas,2021-02-07,76344
Texas,2021-02-14,30490
Texas,2021-02-21,56592
Texas,2021-02-28,43656
Texas,2021-03-07,31890
Texas,2021-03-14,27424
Texas,2021-03-21,25486
Texas,2021-03-28,23145
Texas,2021-04-04,24287
Texas,2021-04-11,23563
Texas,2021-04-18,23278
Texas,2021-04-25,23775
Texas,2021-05-02,16981
Texas,2021-05-09,15545
Texas,2021-05-16,12075
Texas,2021-05-23,12002
Texas,2021-05-30,9285
Texas,2021-06-06,14433
Texas,2021-06-13,8141
Texas,2021-06-20,8847
Texas,2021-06-27,10030
Texas,2021-07-04,12373
Texas,2021-07-11,20383
Texas,2021-07-18,34437
Texas,2021-07-25,61931
Texas,2021-08-01,84929
Texas,2021-08-08,98413
Texas,2021-08-15,110572
Texas,2021-08-22,113020
Texas,2021-08-29,128844
Texas,2021-09-05,118272
Texas,2021-09-12,113600
Texas,2021-09-19,75907
Texas,2021-09-26,65270
Texas,2021-10-03,50016
Texas,2021-10-10,39230
Texas,2021-10-17,28205
Texas,2021-10-24,27055
Texas,2021-10-31,665
