taxa	lat	long
EPI_ISL_2543518	-33.5213056772823	-70.6452315187247
EPI_ISL_2543530	-33.4327186348495	-70.6909969771443
EPI_ISL_2543538	-33.6234266455758	-70.6900412743088
EPI_ISL_2543556	-41.5058364374356	-72.5631510849096
EPI_ISL_2543572	-36.6409207214239	-72.417959732129
EPI_ISL_2543579	-29.9558018759319	-70.603643524429
EPI_ISL_2543605	-27.325261649478	-70.6447077081947
EPI_ISL_2543637	-18.7608766245324	-69.9715024316217
EPI_ISL_2543659	-34.1232320751961	-70.8011356034406
EPI_ISL_2557270	-40.3925615865901	-72.7829932357239
EPI_ISL_2557272	-40.2633128987295	-73.0522524551097
EPI_ISL_2597233	-33.5469876422346	-70.6313755177289
EPI_ISL_2597238	-33.5277442013179	-70.6439953059932
EPI_ISL_2597257	-24.1299482905326	-70.0799520945458
EPI_ISL_2597258	-23.9614857473221	-68.6818325356273
EPI_ISL_2597264	-33.4522570582146	-70.7309197348073
EPI_ISL_2659177	-30.0705718336582	-71.3732422748377
EPI_ISL_2663421	-33.4344445531809	-70.8485974716836
EPI_ISL_2663440	-27.2480349107848	-69.9502021399873
EPI_ISL_2663567	-33.5349037621372	-70.6384673316376
EPI_ISL_2663585	-33.5926118228846	-70.6219774178074
EPI_ISL_2663598	-29.7287139106608	-71.1358826296386
EPI_ISL_2663609	-34.4867215139766	-71.1494890598234
EPI_ISL_2663610	-34.4315949512232	-71.0596267228483
EPI_ISL_2663613	-34.431561886541	-71.1271983631983
EPI_ISL_2756075	-33.5503553971131	-70.6308512913153
EPI_ISL_2756091	-34.4425427624682	-70.8281033805678
EPI_ISL_2756131	-34.0988688157965	-70.6999104347806
EPI_ISL_2756136	-34.0538039188355	-70.7654142728003
EPI_ISL_2756231	-34.1409434961477	-70.7973594398488
EPI_ISL_2756235	-34.1304721670797	-70.7197906198617
EPI_ISL_2756239	-34.1413071357651	-70.7998805419539
EPI_ISL_2756254	-33.1517042782839	-71.507175940541
EPI_ISL_2756261	-27.1594343161632	-70.5186147285872
EPI_ISL_2756266	-27.3318424171786	-70.0534998027997
EPI_ISL_2756271	-27.7700955393208	-70.6747828828314
EPI_ISL_2756305	-35.2813666096592	-71.5190911179917
EPI_ISL_2756308	-33.4169059489239	-70.812500329254
EPI_ISL_2892600	-21.7111717755087	-70.0517026851068
EPI_ISL_2892604	-23.9572668527176	-69.2386322669278
EPI_ISL_2892640	-24.2275029073758	-69.2553010344773
EPI_ISL_2892684	-27.6790754459186	-70.5303618940782
EPI_ISL_2892695	-27.1936951491909	-69.8641357615588
EPI_ISL_2892696	-27.4743288386013	-69.6999600314091
EPI_ISL_2892697	-27.3126490819945	-69.5375645465753
EPI_ISL_2892699	-27.3281830812339	-69.020174980666
EPI_ISL_2892704	-27.1095782898564	-69.0717164142966
EPI_ISL_2892739	-36.7053601615151	-73.1331938340028
EPI_ISL_2892763	-29.8282079771794	-71.038207515239
EPI_ISL_2892768	-29.8194216721036	-71.0726302783868
EPI_ISL_2892776	-29.9249533308677	-70.7041529404673
EPI_ISL_2892801	-41.3860989869225	-72.5219546564275
EPI_ISL_2892804	-41.5650061172816	-72.6046974061668
EPI_ISL_2892847	-34.1519527546671	-70.7023411645587
EPI_ISL_2892880	-33.5522872323372	-70.6458301706115
EPI_ISL_2892896	-33.5777686513814	-70.652188840602
EPI_ISL_2892917	-33.5714932114513	-70.5785404396898
EPI_ISL_2892927	-33.6897740751773	-70.2995015060553
EPI_ISL_2892935	-33.5221856002294	-70.6412433575958
EPI_ISL_2892948	-33.5421164771465	-70.6405373461235
EPI_ISL_2892953	-33.551711656939	-70.6436052356694
EPI_ISL_2894894	-39.7676796132754	-73.0476097188666
EPI_ISL_2894950	-34.2957443084866	-70.757319472881
EPI_ISL_2896188	-34.1320867892402	-70.826928895024
EPI_ISL_3132215	-33.553240966623	-70.6200794950648
EPI_ISL_3132219	-34.1373510237438	-70.1088270030273
EPI_ISL_3132225	-36.1819827313433	-71.829266210296
EPI_ISL_3132636	-22.0737073473605	-70.1324915720148
EPI_ISL_3132648	-34.0887110760685	-70.8441420470568
EPI_ISL_3132649	-34.1390625566237	-70.8124016878711
EPI_ISL_3132665	-37.4808618298871	-72.6436725525592
EPI_ISL_3132697	-33.4266754417645	-70.7490501046168
EPI_ISL_3144933	-36.6507672007519	-72.1895577871187
EPI_ISL_3144939	-20.2678214163117	-70.0475250555711
EPI_ISL_3149130	-36.865940447429	-73.0643613980468
EPI_ISL_3149135	-36.8429302222399	-73.1403371976477
EPI_ISL_3185521	-33.7350907085148	-70.2117452929101
EPI_ISL_3185537	-26.3831019254088	-70.054217201965
EPI_ISL_3185558	-35.8299260407594	-71.6423675297403
EPI_ISL_3185565	-36.6727352149852	-72.0474623024821
EPI_ISL_3185574	-53.1156845208218	-70.9194906799581
EPI_ISL_3185575	-53.1319730514078	-70.8923685167579
EPI_ISL_3185581	-23.7665403310385	-69.6002442733883
EPI_ISL_3185603	-53.0989557111013	-70.893914102088
EPI_ISL_3185650	-39.813070605547	-73.0903622800211
EPI_ISL_3185651	-40.3026351523807	-73.3737434502227
EPI_ISL_3185742	-36.6375688239189	-72.3920866854473
EPI_ISL_3185765	-36.8069085086051	-72.9117303669744
EPI_ISL_3185768	-37.1033036944467	-72.4094040764675
EPI_ISL_3185782	-21.5761406796356	-70.0012330197579
EPI_ISL_3185786	-22.114752744126	-70.1530773100579
EPI_ISL_3185787	-22.1010096181871	-70.1959229502145
EPI_ISL_3185790	-38.672274351078	-72.5793851187149
EPI_ISL_3185791	-22.3727277872933	-70.1746386414064
EPI_ISL_3220122	-39.7345367624501	-73.1900549391102
EPI_ISL_3262664	-36.8040854801626	-73.0680481473065
EPI_ISL_3262665	-36.9587926571072	-73.0932028756157
EPI_ISL_3262670	-37.117042060974	-73.1077758323505
EPI_ISL_3262703	-33.4506357381207	-70.7308627614486
EPI_ISL_3358552	-37.4294268423006	-72.5310124034255
EPI_ISL_3358553	-37.063155760576	-72.3874024471995
EPI_ISL_3358554	-37.2650135676841	-72.1818218656528
EPI_ISL_3358555	-37.5378357827274	-72.4553293217052
EPI_ISL_3358557	-37.3171814260956	-72.1954737553763
EPI_ISL_3358561	-37.2780283554439	-72.1690470958295
EPI_ISL_3358563	-33.5416581246678	-70.6466871891321
EPI_ISL_3363482	-39.8209585570908	-73.1018428600526
EPI_ISL_3363686	-20.210584117744	-70.1597459172594
EPI_ISL_3365049	-21.7533300690406	-70.0163413171036
EPI_ISL_3365052	-22.311985107671	-70.1094946004705
EPI_ISL_3365060	-38.4693728555596	-72.6507570621146
EPI_ISL_3365064	-38.7583627252573	-72.745011702605
EPI_ISL_3365071	-26.9221734687995	-69.9393644379574
EPI_ISL_3368406	-34.3387733605768	-71.2599424518999
EPI_ISL_3368428	-36.9900451370222	-73.1143061142572
EPI_ISL_3368448	-23.8061143018203	-69.2209719803907
EPI_ISL_3368466	-45.6359634553491	-72.2717003589484
EPI_ISL_3368814	-27.0671434440482	-70.2285754474693
EPI_ISL_3368815	-27.3605888410681	-70.3345986410117
EPI_ISL_3368818	-33.5202318155836	-70.7137616199772
EPI_ISL_3368819	-18.5445414012849	-70.2130998004821
EPI_ISL_3368898	-21.9509073431917	-70.0233787082668
EPI_ISL_3368901	-18.695547495193	-69.8096152360644
EPI_ISL_3369287	-34.0243859803104	-70.2087491870016
EPI_ISL_3369327	-33.5431124816406	-70.622104212691
EPI_ISL_3369328	-23.6420746913143	-69.8257415624886
EPI_ISL_3369361	-34.024276324553	-70.0569512547301
EPI_ISL_3369363	-38.7727145186147	-72.7925347066075
EPI_ISL_3369364	-38.6609018989499	-72.6201656325299
EPI_ISL_3369411	-37.0770454363102	-72.3012092567265
EPI_ISL_3369415	-37.5029982144151	-72.3784754603975
EPI_ISL_3369416	-37.5311560772974	-72.250274438872
EPI_ISL_3369417	-33.5502952245225	-71.5365203770582
EPI_ISL_3369418	-33.4786804485468	-70.6699984330421
EPI_ISL_3369419	-35.4424503503182	-71.6948200265481
EPI_ISL_3369430	-34.1253523888098	-70.607121178018
EPI_ISL_3369432	-36.6205312304873	-72.3767139741705
EPI_ISL_3369434	-22.1115374568861	-70.1777199492587
EPI_ISL_3535998	-39.577542448569	-71.7937291067017
EPI_ISL_3536002	-20.2080426255927	-70.1641027358452
EPI_ISL_3536029	-33.1531590567706	-71.6274473587756
EPI_ISL_3536032	-20.209311503523	-70.1633542040752
EPI_ISL_3536108	-33.5385439486323	-70.629030065836
EPI_ISL_3536124	-33.3568721968127	-70.1473754775982
EPI_ISL_3536125	-33.671725310763	-69.9554736652748
EPI_ISL_3536129	-33.5460314705682	-70.643928715362
EPI_ISL_3537163	-37.0418763103856	-73.1237323985721
EPI_ISL_3537172	-36.8041124375623	-73.0122125408429
EPI_ISL_3537350	-36.8885382312076	-73.0310060390813
EPI_ISL_3537356	-37.0030909240794	-73.1805735957875
EPI_ISL_3537357	-24.190059517434	-69.1724354296716
EPI_ISL_3537359	-24.7901766041805	-68.6671929117181
EPI_ISL_3546363	-39.7884809015243	-73.3561886853324
EPI_ISL_3546364	-20.2075814293681	-70.1549810881637
EPI_ISL_3546365	-20.2065125498438	-70.1619993998521
EPI_ISL_3546368	-39.2548629654034	-71.8768554298712
EPI_ISL_3546392	-20.207430393333	-70.1545466811508
EPI_ISL_3982633	-26.3666544077801	-70.3231698731745
EPI_ISL_3982683	-36.6727757254267	-72.3609356949499
EPI_ISL_3987633	-34.2070926736313	-70.7050349817642
EPI_ISL_3987634	-34.1353090672841	-70.3785453324772
EPI_ISL_3987679	-36.5596029988362	-72.0034044406899
EPI_ISL_3987688	-20.2060749044823	-70.1633193275997
EPI_ISL_3987695	-20.2104970061656	-70.159819917841
EPI_ISL_3987892	-36.6199518837859	-72.0011045384144
EPI_ISL_3988129	-36.6440155475904	-72.0856237868958
EPI_ISL_3988237	-33.5039663300727	-70.1285450781761
EPI_ISL_3988238	-33.5927782877894	-70.2131353021017
EPI_ISL_3988247	-33.5103276801983	-69.8749112562029
EPI_ISL_4005000	-36.9151832642144	-72.6809795058689
EPI_ISL_4005003	-36.8544216966546	-72.6452873604098
EPI_ISL_4005059	-35.4217293473087	-71.6354675092029
EPI_ISL_4005060	-36.8455217508374	-73.0521518535824
EPI_ISL_4005199	-18.4972719774792	-70.2333583404604
EPI_ISL_4005200	-18.5053706208226	-70.0939908560541
EPI_ISL_4005201	-36.6515948708903	-72.3923845126222
EPI_ISL_4628780	-34.2694582578144	-70.9472405077207
EPI_ISL_4628781	-34.2264335791986	-70.9076086514665
EPI_ISL_4630481	-36.8193785721949	-72.7697087313032
EPI_ISL_4632079	-39.3596134504978	-71.4218041954939
EPI_ISL_4632235	-26.1490636462764	-70.3554988056288
EPI_ISL_4632380	-36.6675241088349	-72.1477307170319
EPI_ISL_4632427	-36.5249233462281	-71.9155579784676
EPI_ISL_4632428	-36.6801629088502	-72.3867520671251
EPI_ISL_4632429	-36.6662126479755	-72.0412619402649
EPI_ISL_4635558	-36.5911402474456	-72.1830776138994
EPI_ISL_4635734	-36.5201168939693	-72.0104782905796
EPI_ISL_4635742	-33.5677728270584	-70.535310977809
EPI_ISL_4635752	-33.5331059220904	-70.6433285257281
EPI_ISL_4635756	-33.5327370043351	-70.6117899218156
EPI_ISL_4649331	-36.5827874532088	-72.1701374830414
EPI_ISL_4652861	-36.7970604252831	-73.1132008735666
EPI_ISL_4652870	-36.7273157996896	-72.9639090601449
EPI_ISL_4652871	-36.7642420390773	-73.1125925247143
EPI_ISL_4652878	-36.7470136800168	-72.965960137147
EPI_ISL_4655071	-36.6699120303961	-72.739376150088
EPI_ISL_4655075	-36.5843367058384	-72.8094358408135
EPI_ISL_4655076	-36.5920010619571	-72.0426706965773
EPI_ISL_4658535	-36.8775138832533	-72.1126200008495
EPI_ISL_4659660	-36.8899957805298	-72.4461167672805
EPI_ISL_4659667	-36.7842842482507	-72.061235711812
