taxa	date
EPI_ISL_3363517	2021-07-26
EPI_ISL_3368443	2021-07-25
EPI_ISL_3369329	2021-07-22
EPI_ISL_3369429	2021-07-10
EPI_ISL_3369425	2021-07-09
EPI_ISL_2391365	2021-01-29
EPI_ISL_3537161	2021-07-31
EPI_ISL_3546390	2021-07-26
EPI_ISL_3369424	2021-07-09
EPI_ISL_2391349	2021-05-09
EPI_ISL_2391018	2021-04-25
EPI_ISL_2391023	2021-04-26
EPI_ISL_2391025	2021-04-25
EPI_ISL_2391135	2021-05-03
EPI_ISL_2391149	2021-05-02
EPI_ISL_2391143	2021-05-03
EPI_ISL_2391188	2021-05-03
EPI_ISL_2391215	2021-05-02
EPI_ISL_2391295	2021-05-04
EPI_ISL_2391290	2021-05-04
EPI_ISL_2391305	2021-05-10
EPI_ISL_2391309	2021-05-10
EPI_ISL_2391312	2021-05-10
EPI_ISL_2391315	2021-05-10
EPI_ISL_2391350	2021-05-09
EPI_ISL_2391351	2021-05-09
EPI_ISL_2391431	2021-05-05
EPI_ISL_2391434	2021-05-05
EPI_ISL_2391186	2021-05-03
EPI_ISL_2391211	2021-05-02
EPI_ISL_2391292	2021-05-04
EPI_ISL_2391432	2021-05-05
EPI_ISL_2391236	2021-05-03
EPI_ISL_2508579	2021-05-10
EPI_ISL_2509317	2021-05-17
EPI_ISL_2543609	2021-05-23
EPI_ISL_2543606	2021-05-23
EPI_ISL_2543445	2021-05-16
EPI_ISL_2543466	2021-05-18
EPI_ISL_2557278	2021-05-24
EPI_ISL_2557253	2021-05-25
EPI_ISL_2597245	2021-04-15
EPI_ISL_3149143	2021-07-02
EPI_ISL_3149144	2021-07-02
EPI_ISL_2659123	2021-05-31
EPI_ISL_2659118	2021-05-28
EPI_ISL_3982634	2021-08-02
EPI_ISL_3988103	2021-08-06
EPI_ISL_4005132	2021-08-07
EPI_ISL_2663603	2021-05-31
EPI_ISL_2663604	2021-05-31
EPI_ISL_1321483	2021-03-06
EPI_ISL_1534582	2021-03-28
EPI_ISL_1470470	2021-03-22
EPI_ISL_1534554	2021-03-13
EPI_ISL_1541061	2021-04-05
EPI_ISL_1541012	2021-04-01
EPI_ISL_1541011	2021-04-01
EPI_ISL_2756103	2021-06-08
EPI_ISL_2756113	2021-06-09
EPI_ISL_2892605	2021-06-14
EPI_ISL_2892742	2021-06-21
EPI_ISL_2892751	2021-06-21
EPI_ISL_2892954	2021-06-22
EPI_ISL_1633366	2021-04-06
EPI_ISL_1633391	2021-04-06
EPI_ISL_1633380	2021-04-06
EPI_ISL_1633423	2021-04-08
EPI_ISL_1633534	2021-04-05
EPI_ISL_1633503	2021-03-31
EPI_ISL_1633424	2021-04-08
EPI_ISL_1633519	2021-04-04
EPI_ISL_1633390	2021-04-06
EPI_ISL_1633386	2021-04-06
EPI_ISL_12144374	2021-05-23
EPI_ISL_12144400	2021-05-31
EPI_ISL_12144536	2021-03-21
EPI_ISL_2597251	2021-04-18
EPI_ISL_2756102	2021-06-08
EPI_ISL_2543506	2021-05-21
EPI_ISL_2756107	2021-06-07
EPI_ISL_3144936	2021-06-22
EPI_ISL_3144938	2021-07-01
EPI_ISL_1712320	2021-04-10
EPI_ISL_1712315	2021-04-09
EPI_ISL_3185511	2021-07-02
EPI_ISL_3185536	2021-07-04
EPI_ISL_3185683	2021-07-11
EPI_ISL_3185687	2021-07-10
EPI_ISL_3185688	2021-07-10
EPI_ISL_3185735	2021-07-13
EPI_ISL_3185747	2021-07-12
EPI_ISL_2543590	2021-05-23
EPI_ISL_2543601	2021-05-23
EPI_ISL_3220109	2021-06-21
EPI_ISL_2557267	2021-05-22
EPI_ISL_4632654	2021-08-16
EPI_ISL_4655535	2021-09-11
EPI_ISL_3368442	2021-07-25
EPI_ISL_3537167	2021-08-01
EPI_ISL_2009565	2021-04-25
EPI_ISL_2009298	2021-04-12
EPI_ISL_2009652	2021-04-19
EPI_ISL_2009638	2021-04-18
