taxa	date
EPI_ISL_5431442	2021-10-01
EPI_ISL_5431450	2021-09-26
EPI_ISL_3365105	2021-07-22
EPI_ISL_3369331	2021-07-25
EPI_ISL_3369332	2021-07-25
EPI_ISL_3369285	2021-07-25
EPI_ISL_5010789	2021-09-18
EPI_ISL_5010800	2021-09-18
EPI_ISL_5010923	2021-09-20
EPI_ISL_5010935	2021-09-22
EPI_ISL_5010960	2021-09-20
EPI_ISL_5010995	2021-09-19
EPI_ISL_5011001	2021-09-22
EPI_ISL_5011011	2021-09-22
EPI_ISL_5010953	2021-09-20
EPI_ISL_5011556	2021-09-26
EPI_ISL_5431359	2021-09-22
EPI_ISL_5544235	2021-09-25
EPI_ISL_4657959	2021-09-04
EPI_ISL_5010710	2021-09-17
EPI_ISL_3537144	2021-07-30
EPI_ISL_3537364	2021-08-04
EPI_ISL_3369330	2021-07-25
EPI_ISL_4631903	2021-08-21
EPI_ISL_4631916	2021-08-20
EPI_ISL_4635537	2021-08-27
EPI_ISL_4636549	2021-09-02
EPI_ISL_4636554	2021-09-02
EPI_ISL_4655054	2021-09-09
EPI_ISL_4657985	2021-09-06
EPI_ISL_5411166	2021-09-21
EPI_ISL_5421833	2021-09-27
EPI_ISL_5431357	2021-09-22
EPI_ISL_5431358	2021-09-22
EPI_ISL_5431366	2021-09-21
EPI_ISL_5431367	2021-09-21
EPI_ISL_5431394	2021-10-01
EPI_ISL_5431446	2021-10-01
EPI_ISL_5431447	2021-09-26
EPI_ISL_5431449	2021-09-26
EPI_ISL_5431461	2021-09-24
EPI_ISL_5431462	2021-09-24
EPI_ISL_5431463	2021-09-24
EPI_ISL_5431464	2021-09-24
EPI_ISL_5431360	2021-09-22
EPI_ISL_5431382	2021-09-21
EPI_ISL_5431459	2021-10-02
EPI_ISL_3982672	2021-08-04
EPI_ISL_3987623	2021-08-08
EPI_ISL_3987624	2021-08-08
EPI_ISL_3987629	2021-08-09
EPI_ISL_3987691	2021-08-08
EPI_ISL_12144390	2021-09-20
EPI_ISL_3537155	2021-08-02
EPI_ISL_3537363	2021-08-03
EPI_ISL_4628769	2021-08-14
EPI_ISL_4628770	2021-08-14
EPI_ISL_4628771	2021-08-14
EPI_ISL_4628805	2021-08-14
EPI_ISL_4628768	2021-08-14
EPI_ISL_4632277	2021-08-30
EPI_ISL_4632278	2021-08-30
EPI_ISL_4632279	2021-08-30
EPI_ISL_4632348	2021-08-30
EPI_ISL_4632349	2021-08-30
EPI_ISL_4632351	2021-08-30
EPI_ISL_4632444	2021-08-31
EPI_ISL_4632445	2021-08-31
EPI_ISL_4632446	2021-08-31
EPI_ISL_4632447	2021-08-31
EPI_ISL_4632448	2021-08-31
EPI_ISL_4632495	2021-08-31
EPI_ISL_4632506	2021-08-31
EPI_ISL_4632512	2021-08-31
EPI_ISL_4632525	2021-09-01
EPI_ISL_4632781	2021-08-16
EPI_ISL_4632806	2021-08-31
EPI_ISL_4632280	2021-08-30
EPI_ISL_4632281	2021-08-30
EPI_ISL_4632300	2021-08-29
EPI_ISL_4632350	2021-08-30
EPI_ISL_4635586	2021-08-24
EPI_ISL_4635536	2021-08-26
EPI_ISL_4635791	2021-08-23
EPI_ISL_4635792	2021-08-23
EPI_ISL_4635793	2021-08-23
EPI_ISL_4635794	2021-08-23
EPI_ISL_4635795	2021-08-23
EPI_ISL_4636022	2021-08-28
EPI_ISL_4636023	2021-08-29
EPI_ISL_4636024	2021-08-28
EPI_ISL_4636506	2021-09-11
EPI_ISL_4636508	2021-09-09
EPI_ISL_4636510	2021-09-03
EPI_ISL_4636516	2021-09-10
EPI_ISL_4636517	2021-09-10
EPI_ISL_4636518	2021-09-10
EPI_ISL_4636555	2021-09-02
EPI_ISL_4636613	2021-08-30
EPI_ISL_4635782	2021-08-21
EPI_ISL_4636502	2021-09-12
EPI_ISL_4636551	2021-09-02
EPI_ISL_4649273	2021-08-24
EPI_ISL_4649296	2021-08-24
EPI_ISL_4649261	2021-08-24
EPI_ISL_4649269	2021-08-24
EPI_ISL_4652775	2021-08-25
EPI_ISL_4652776	2021-08-26
EPI_ISL_4652781	2021-08-26
EPI_ISL_4653981	2021-09-11
EPI_ISL_4653984	2021-09-13
EPI_ISL_4653985	2021-09-11
EPI_ISL_4653994	2021-09-13
EPI_ISL_4654000	2021-09-12
EPI_ISL_4654001	2021-09-10
EPI_ISL_4654006	2021-09-12
EPI_ISL_4654140	2021-09-13
EPI_ISL_4654171	2021-09-12
EPI_ISL_4654174	2021-09-13
EPI_ISL_4654191	2021-09-11
EPI_ISL_4653993	2021-09-13
EPI_ISL_4654146	2021-09-12
EPI_ISL_4654152	2021-09-12
EPI_ISL_4654198	2021-09-11
EPI_ISL_4655883	2021-09-16
EPI_ISL_4655905	2021-09-13
EPI_ISL_4655920	2021-09-13
EPI_ISL_4655201	2021-09-07
EPI_ISL_4655206	2021-09-07
EPI_ISL_4655214	2021-09-08
EPI_ISL_4655215	2021-09-07
EPI_ISL_4655845	2021-09-13
EPI_ISL_4655865	2021-09-13
EPI_ISL_4656074	2021-09-14
EPI_ISL_4656119	2021-09-13
EPI_ISL_4655058	2021-09-09
EPI_ISL_4655837	2021-09-13
EPI_ISL_4655868	2021-09-15
EPI_ISL_4655874	2021-09-15
EPI_ISL_4655888	2021-09-15
EPI_ISL_4655894	2021-09-14
EPI_ISL_4655898	2021-09-13
EPI_ISL_4655912	2021-09-15
EPI_ISL_4655919	2021-09-14
EPI_ISL_4655990	2021-09-13
EPI_ISL_4655875	2021-09-14
EPI_ISL_4655893	2021-09-14
EPI_ISL_4657980	2021-09-06
EPI_ISL_4657981	2021-09-06
EPI_ISL_4657966	2021-09-05
EPI_ISL_4657960	2021-09-04
EPI_ISL_4657962	2021-09-04
EPI_ISL_4657973	2021-09-06
EPI_ISL_4657993	2021-09-04
EPI_ISL_4658110	2021-09-04
EPI_ISL_4658111	2021-09-07
EPI_ISL_4657947	2021-09-03
EPI_ISL_4657952	2021-09-04
EPI_ISL_4657972	2021-09-05
EPI_ISL_4658348	2021-09-14
EPI_ISL_4657946	2021-09-04
EPI_ISL_4657986	2021-09-06
EPI_ISL_4658131	2021-09-04
EPI_ISL_4658140	2021-09-06
EPI_ISL_4659599	2021-09-08
EPI_ISL_4659787	2021-09-08
EPI_ISL_3341919	2021-07-29
