taxa	lat	long
EPI_ISL_1633475	-33.8096446440054	-70.193006645188
EPI_ISL_1633478	-34.9159425127976	-71.2308406384582
EPI_ISL_1633493	-33.5329292941354	-70.6254516058047
EPI_ISL_1633494	-33.5543784444935	-70.6193182540073
EPI_ISL_1633500	-33.5491204023629	-70.6434312463582
EPI_ISL_1633502	-33.585462358955	-70.6180375120716
EPI_ISL_1633507	-33.6224114526563	-70.6325604941175
EPI_ISL_1633516	-33.6146216590352	-70.5968548789338
EPI_ISL_1633533	-37.0843072897308	-73.1553637280219
EPI_ISL_1633540	-33.3686872349321	-70.5522128356186
EPI_ISL_1633541	-33.3364339148281	-70.7458801208071
EPI_ISL_1633549	-37.7201781156398	-72.7262198204256
EPI_ISL_1633550	-37.7961559363266	-72.7736046678582
EPI_ISL_1712339	-33.1162262268228	-71.56191133226
EPI_ISL_1712340	-33.1180418588513	-71.6565802482856
EPI_ISL_1712341	-33.0967769918543	-71.6028590491184
EPI_ISL_1712342	-33.053943499413	-71.6448432095107
EPI_ISL_1712343	-33.1119911266452	-71.6945772125946
EPI_ISL_1712344	-33.0276305620347	-71.6368836700753
EPI_ISL_1712346	-41.6107609145359	-72.623026354137
EPI_ISL_1712366	-33.361244965249	-70.8134910434501
EPI_ISL_2009195	-34.1452293403669	-70.8407372309931
EPI_ISL_2009196	-33.5448351037088	-70.625680841901
EPI_ISL_2009207	-33.5496913974316	-70.6200314292537
EPI_ISL_2009243	-38.7541921486303	-72.6882063760473
EPI_ISL_2009270	-34.8540044121534	-71.1815983299305
EPI_ISL_2009271	-41.421692580768	-72.712542595264
EPI_ISL_2009272	-41.4060249494352	-73.2059089199048
EPI_ISL_2009274	-41.4697407157607	-72.528316233736
EPI_ISL_2009276	-41.0614163840249	-73.1360343992219
EPI_ISL_2009277	-41.2035050653307	-73.0900570812061
EPI_ISL_2009289	-33.4172635166986	-70.6701551627036
EPI_ISL_2009292	-33.4896055120466	-70.8171328459023
EPI_ISL_2009295	-33.4196328430707	-70.6163223479681
EPI_ISL_2009303	-33.5128360524043	-70.7668726789928
EPI_ISL_2009535	-35.5962115642945	-72.5886711306433
EPI_ISL_2009537	-33.4504856531123	-70.6772046997355
EPI_ISL_2009538	-23.7596277576442	-69.8412234529482
EPI_ISL_2009539	-23.6451290777038	-69.8451872001093
EPI_ISL_2009540	-24.3195849061546	-69.1635749724773
