taxa	date
EPI_ISL_5010705	2021-09-13
EPI_ISL_3537187	2021-08-02
EPI_ISL_4632746	2021-08-16
EPI_ISL_4636501	2021-09-07
EPI_ISL_12144301	2021-06-15
EPI_ISL_12144302	2021-06-14
EPI_ISL_12144299	2021-05-16
EPI_ISL_12144314	2021-06-01
EPI_ISL_5431443	2021-10-03
EPI_ISL_3982002	2021-08-09
EPI_ISL_3982669	2021-08-03
EPI_ISL_3982673	2021-08-03
EPI_ISL_3987681	2021-08-05
EPI_ISL_3987918	2021-08-09
EPI_ISL_3987919	2021-08-10
EPI_ISL_3988271	2021-08-14
EPI_ISL_4005123	2021-08-09
EPI_ISL_4005143	2021-08-17
EPI_ISL_4005219	2021-07-30
EPI_ISL_4005249	2021-08-01
EPI_ISL_4005244	2021-07-29
EPI_ISL_11976025	2021-07-16
EPI_ISL_12144296	2021-06-09
EPI_ISL_12144297	2021-06-09
EPI_ISL_12144298	2021-05-16
EPI_ISL_12144328	2021-06-23
EPI_ISL_12144564	2021-06-30
EPI_ISL_12012950	2021-07-26
EPI_ISL_12017322	2021-07-12
EPI_ISL_11976024	2021-07-20
EPI_ISL_11976055	2021-07-13
EPI_ISL_11976048	2021-07-17
EPI_ISL_11976056	2021-07-13
EPI_ISL_11976049	2021-07-12
EPI_ISL_11976053	2021-07-13
EPI_ISL_11976057	2021-07-06
EPI_ISL_11976100	2021-07-30
EPI_ISL_11976098	2021-07-30
EPI_ISL_11976099	2021-07-29
EPI_ISL_11976097	2021-07-29
EPI_ISL_11976150	2021-07-28
EPI_ISL_11976148	2021-07-28
EPI_ISL_11976155	2021-07-27
EPI_ISL_3185396	2021-06-30
EPI_ISL_3185397	2021-06-30
EPI_ISL_3185398	2021-06-30
EPI_ISL_3185440	2021-06-29
EPI_ISL_3185499	2021-07-03
EPI_ISL_3185725	2021-07-10
EPI_ISL_3185769	2021-07-08
EPI_ISL_3185788	2021-07-09
EPI_ISL_3185802	2021-07-12
EPI_ISL_4628789	2021-08-11
EPI_ISL_4628790	2021-08-12
EPI_ISL_4632243	2021-08-30
EPI_ISL_4632393	2021-08-19
EPI_ISL_4632478	2021-08-30
EPI_ISL_4632479	2021-08-30
EPI_ISL_4632487	2021-08-30
EPI_ISL_4632539	2021-08-31
EPI_ISL_4632831	2021-08-31
EPI_ISL_4632832	2021-08-27
EPI_ISL_4632858	2021-08-31
EPI_ISL_4632878	2021-08-30
EPI_ISL_4632390	2021-08-19
EPI_ISL_4632394	2021-08-18
EPI_ISL_4632622	2021-08-16
EPI_ISL_4632823	2021-09-02
EPI_ISL_4632824	2021-09-01
EPI_ISL_4632859	2021-09-01
EPI_ISL_4635472	2021-08-23
EPI_ISL_4635521	2021-08-24
EPI_ISL_4635604	2021-08-26
EPI_ISL_4635532	2021-08-25
EPI_ISL_4635610	2021-08-24
EPI_ISL_4635476	2021-08-24
EPI_ISL_4635535	2021-08-25
EPI_ISL_4635780	2021-08-23
EPI_ISL_4635812	2021-08-10
EPI_ISL_4636009	2021-08-25
EPI_ISL_4636019	2021-08-28
EPI_ISL_4636028	2021-08-28
EPI_ISL_4636129	2021-09-02
EPI_ISL_4636140	2021-09-01
EPI_ISL_4636144	2021-09-01
EPI_ISL_4636466	2021-09-09
EPI_ISL_4635779	2021-08-21
EPI_ISL_4636018	2021-08-27
EPI_ISL_4652657	2021-08-25
EPI_ISL_4654401	2021-09-06
EPI_ISL_4659683	2021-09-07
