taxa	date
EPI_ISL_5431606	2021-09-23
EPI_ISL_3368908	2021-07-16
EPI_ISL_5010698	2021-09-18
EPI_ISL_5010715	2021-09-16
EPI_ISL_5010722	2021-09-20
EPI_ISL_5010794	2021-09-19
EPI_ISL_5010820	2021-09-20
EPI_ISL_3537156	2021-08-02
EPI_ISL_3537299	2021-08-03
EPI_ISL_4635583	2021-08-24
EPI_ISL_5411186	2021-09-23
EPI_ISL_5411187	2021-09-23
EPI_ISL_5431295	2021-09-16
EPI_ISL_5431296	2021-09-16
EPI_ISL_5431497	2021-09-23
EPI_ISL_5431541	2021-09-19
EPI_ISL_5431437	2021-09-19
EPI_ISL_5544741	2021-10-11
EPI_ISL_5544715	2021-10-11
EPI_ISL_3987625	2021-08-05
EPI_ISL_4005076	2021-08-06
EPI_ISL_3537365	2021-08-02
EPI_ISL_3365117	2021-07-20
EPI_ISL_4632051	2021-09-07
EPI_ISL_4632223	2021-08-29
EPI_ISL_4632224	2021-08-30
EPI_ISL_4631968	2021-08-19
EPI_ISL_4632050	2021-09-07
EPI_ISL_4632222	2021-08-25
EPI_ISL_4632294	2021-08-28
EPI_ISL_4632319	2021-08-27
EPI_ISL_4632347	2021-08-26
EPI_ISL_4632354	2021-08-27
EPI_ISL_4632355	2021-08-23
EPI_ISL_4632496	2021-08-29
EPI_ISL_4632503	2021-08-30
EPI_ISL_4632269	2021-08-29
EPI_ISL_4632295	2021-08-29
EPI_ISL_4632498	2021-08-29
EPI_ISL_4632522	2021-09-01
EPI_ISL_4632566	2021-09-01
EPI_ISL_4632576	2021-08-31
EPI_ISL_4632669	2021-08-16
EPI_ISL_4635514	2021-08-25
EPI_ISL_4636504	2021-09-11
EPI_ISL_4636505	2021-09-11
EPI_ISL_4636572	2021-09-05
EPI_ISL_4636573	2021-09-05
EPI_ISL_4636574	2021-09-05
EPI_ISL_4636575	2021-09-05
EPI_ISL_4636578	2021-09-01
EPI_ISL_4636588	2021-09-04
EPI_ISL_4653501	2021-09-07
EPI_ISL_4653484	2021-09-09
EPI_ISL_4653509	2021-09-08
EPI_ISL_4654167	2021-09-10
EPI_ISL_4653500	2021-09-08
EPI_ISL_4653596	2021-09-04
EPI_ISL_4654192	2021-09-13
EPI_ISL_4655121	2021-09-07
EPI_ISL_4655721	2021-09-12
EPI_ISL_4655046	2021-09-08
EPI_ISL_4655640	2021-09-13
EPI_ISL_4658564	2021-09-16
EPI_ISL_4659768	2021-09-08
EPI_ISL_3341947	2021-07-19
