taxa	lat	long
EPI_ISL_12144493	-33.6166460538935	-70.552475611004
EPI_ISL_12144498	-33.4730117189513	-70.6144073429684
EPI_ISL_12144505	-33.4974673742374	-70.5856740457969
EPI_ISL_12144522	-33.492956164775	-70.6653103716775
EPI_ISL_12144525	-33.4878500370064	-70.6339838314001
EPI_ISL_4632502	-35.4249996590962	-71.5619565010363
EPI_ISL_4636526	-33.460936960884	-70.6730094861717
EPI_ISL_4652929	-37.8068715282229	-73.2503633967674
EPI_ISL_4653553	-33.449728617112	-70.7354616160999
EPI_ISL_4653558	-33.4705336701751	-70.6506292485071
EPI_ISL_4654175	-33.5003239420518	-70.7758334548013
EPI_ISL_4654489	-33.3783628191711	-70.6802105664563
EPI_ISL_4655857	-33.4953948946483	-70.6641658634596
EPI_ISL_4656041	-33.4646004589549	-70.5747447259253
EPI_ISL_4656128	-34.0632046570399	-70.7940640498257
EPI_ISL_4656133	-34.1083148540309	-70.8057796888561
EPI_ISL_4656337	-33.5068195063803	-70.6491722235705
EPI_ISL_4656410	-33.6953755673505	-70.6793538694452
EPI_ISL_4658061	-33.1588566856653	-71.2272856255519
EPI_ISL_4658609	-33.6073010081317	-70.5273477651823
EPI_ISL_4658616	-34.9803647568728	-72.0894824432743
EPI_ISL_4659668	-33.4801998737967	-70.5314684008556
EPI_ISL_4704371	-33.5558066300586	-70.910313545362
EPI_ISL_5010685	-33.4313639801289	-70.5873861176229
EPI_ISL_5010732	-36.5881602445002	-72.2408164652665
EPI_ISL_5010733	-36.5207300603548	-72.276133270537
EPI_ISL_5010743	-33.4794657123547	-70.6222846700882
EPI_ISL_5010747	-33.4813467930562	-70.6244364614836
EPI_ISL_5010751	-33.505347949733	-70.596862355438
EPI_ISL_5010790	-34.0200822716775	-70.5741359192926
EPI_ISL_5010806	-37.1746560686545	-72.0344043895667
EPI_ISL_5010838	-33.4405864279298	-70.5779233246523
EPI_ISL_5010840	-33.476372437326	-70.5444428461575
EPI_ISL_5010841	-33.3869199282338	-70.5606032446401
EPI_ISL_5010845	-33.5776540821887	-70.91559272614
EPI_ISL_5010988	-33.9209956219067	-70.5895109539642
EPI_ISL_5011017	-34.340574939276	-70.9920307653905
EPI_ISL_5011059	-33.5516673964045	-70.6236817253279
EPI_ISL_5011185	-33.4870377041199	-70.7413711893946
EPI_ISL_5011249	-33.4820065610561	-70.6699677625178
EPI_ISL_5011263	-33.5293737217076	-70.6825540592248
EPI_ISL_5011341	-33.4590459864567	-70.6623117693179
EPI_ISL_5011352	-33.4976642454775	-70.6316634482838
EPI_ISL_5011378	-33.4619099648208	-70.6737647626441
EPI_ISL_5011721	-33.5069727480245	-70.6270264013077
EPI_ISL_5011749	-33.5015636789615	-70.5967903155857
EPI_ISL_5011774	-30.0320710971944	-71.3352836204784
EPI_ISL_5011824	-32.7114899228242	-71.4497645402963
EPI_ISL_5411149	-33.6571777180847	-70.522878529851
EPI_ISL_5411198	-33.4502386175005	-70.618738310593
EPI_ISL_5411205	-33.5040677957882	-70.6901441345456
EPI_ISL_5411207	-33.4852990125608	-70.6358861145028
EPI_ISL_5411209	-33.480554745457	-70.5701713819815
EPI_ISL_5411279	-33.453751194655	-70.694007419139
EPI_ISL_5411280	-32.8605193244005	-70.6412768828187
