taxa	date
EPI_ISL_3368899	2021-07-11
EPI_ISL_1470447	2021-03-17
EPI_ISL_2391465	2021-05-05
EPI_ISL_4632766	2021-08-16
EPI_ISL_3546367	2021-07-23
EPI_ISL_3132666	2021-07-03
EPI_ISL_12144587	2021-08-18
EPI_ISL_2391335	2021-05-10
EPI_ISL_2391339	2021-05-10
EPI_ISL_2391055	2021-04-27
EPI_ISL_2391060	2021-04-28
EPI_ISL_2391063	2021-04-27
EPI_ISL_2391041	2021-04-28
EPI_ISL_2391050	2021-04-27
EPI_ISL_2391358	2021-05-07
EPI_ISL_2391405	2021-05-04
EPI_ISL_2391406	2021-05-05
EPI_ISL_2391410	2021-05-05
EPI_ISL_2508568	2021-05-10
EPI_ISL_2508569	2021-05-10
EPI_ISL_2508573	2021-05-12
EPI_ISL_2508574	2021-05-11
EPI_ISL_2509295	2021-05-17
EPI_ISL_2509298	2021-05-18
EPI_ISL_2597308	2021-04-18
EPI_ISL_2009641	2021-04-18
EPI_ISL_3982429	2021-08-15
EPI_ISL_3987883	2021-08-08
EPI_ISL_3987886	2021-08-06
EPI_ISL_3987888	2021-08-09
EPI_ISL_3987889	2021-08-09
EPI_ISL_3987902	2021-08-10
EPI_ISL_3988097	2021-08-06
EPI_ISL_3988100	2021-08-06
EPI_ISL_3988101	2021-08-06
EPI_ISL_3988139	2021-08-10
EPI_ISL_3988243	2021-08-11
EPI_ISL_3987882	2021-08-08
EPI_ISL_3987887	2021-08-06
EPI_ISL_3987890	2021-08-09
EPI_ISL_3987921	2021-08-06
EPI_ISL_3988098	2021-08-06
EPI_ISL_4004995	2021-08-12
EPI_ISL_4005062	2021-08-12
EPI_ISL_2663606	2021-05-31
EPI_ISL_1470444	2021-03-18
EPI_ISL_1541065	2021-04-04
EPI_ISL_2756135	2021-06-12
EPI_ISL_2756093	2021-06-08
EPI_ISL_2756156	2021-06-13
EPI_ISL_2892714	2021-06-23
EPI_ISL_2892716	2021-06-23
EPI_ISL_2892717	2021-06-23
EPI_ISL_2892852	2021-06-14
EPI_ISL_2894920	2021-06-24
EPI_ISL_2894946	2021-06-28
EPI_ISL_2894957	2021-06-28
EPI_ISL_2894968	2021-06-24
EPI_ISL_2894969	2021-06-24
EPI_ISL_1633401	2021-04-06
EPI_ISL_2391201	2021-05-03
EPI_ISL_12144584	2021-08-18
EPI_ISL_12144443	2021-06-29
EPI_ISL_4005195	2021-08-02
EPI_ISL_2597307	2021-04-17
EPI_ISL_2756086	2021-06-08
EPI_ISL_2756087	2021-06-08
EPI_ISL_3144898	2021-06-29
EPI_ISL_3144902	2021-06-29
EPI_ISL_3144906	2021-06-30
EPI_ISL_3144940	2021-06-29
EPI_ISL_3149138	2021-07-04
EPI_ISL_3185573	2021-07-02
EPI_ISL_3185589	2021-07-06
EPI_ISL_3185590	2021-07-06
EPI_ISL_3185758	2021-07-12
EPI_ISL_3185571	2021-07-07
EPI_ISL_2597304	2021-04-21
EPI_ISL_2597303	2021-04-19
EPI_ISL_3262695	2021-07-18
EPI_ISL_4628782	2021-08-14
EPI_ISL_4628783	2021-08-14
EPI_ISL_4628784	2021-08-14
EPI_ISL_4628785	2021-08-15
EPI_ISL_4628786	2021-08-14
EPI_ISL_4628787	2021-08-15
EPI_ISL_4628788	2021-08-14
EPI_ISL_4632752	2021-08-16
EPI_ISL_4632759	2021-08-13
EPI_ISL_4632760	2021-08-16
EPI_ISL_4632771	2021-08-13
EPI_ISL_4632753	2021-08-16
EPI_ISL_4635805	2021-08-20
EPI_ISL_4635804	2021-08-20
EPI_ISL_4635808	2021-08-20
EPI_ISL_2508581	2021-05-09
EPI_ISL_4649123	2021-08-09
EPI_ISL_4649130	2021-08-20
EPI_ISL_2009240	2021-04-06
EPI_ISL_2009241	2021-04-06
