taxa	date
EPI_ISL_5011341	2021-09-20
EPI_ISL_5011352	2021-09-20
EPI_ISL_5011378	2021-09-19
EPI_ISL_5010685	2021-09-18
EPI_ISL_5010732	2021-09-20
EPI_ISL_5010733	2021-09-20
EPI_ISL_5010743	2021-09-16
EPI_ISL_5010747	2021-09-14
EPI_ISL_5010751	2021-09-15
EPI_ISL_5010806	2021-09-19
EPI_ISL_5010845	2021-09-21
EPI_ISL_5010838	2021-09-20
EPI_ISL_5010988	2021-09-21
EPI_ISL_5011017	2021-09-22
EPI_ISL_5011059	2021-09-17
EPI_ISL_5011185	2021-09-20
EPI_ISL_5011249	2021-09-20
EPI_ISL_5011263	2021-09-20
EPI_ISL_5010790	2021-09-18
EPI_ISL_5010840	2021-09-21
EPI_ISL_5010841	2021-09-22
EPI_ISL_5011721	2021-09-22
EPI_ISL_5011749	2021-09-22
EPI_ISL_5011774	2021-09-22
EPI_ISL_5011824	2021-09-22
EPI_ISL_5411149	2021-09-17
EPI_ISL_5411198	2021-09-26
EPI_ISL_5411207	2021-09-24
EPI_ISL_5411209	2021-09-23
EPI_ISL_5411279	2021-09-21
EPI_ISL_5411280	2021-09-21
EPI_ISL_5411326	2021-09-22
EPI_ISL_5411205	2021-09-24
EPI_ISL_5421792	2021-09-26
EPI_ISL_5421793	2021-09-25
EPI_ISL_5421814	2021-09-28
EPI_ISL_5421824	2021-09-27
EPI_ISL_5421794	2021-09-25
EPI_ISL_5421799	2021-09-23
EPI_ISL_12144525	2021-09-25
EPI_ISL_5431321	2021-10-01
EPI_ISL_5431498	2021-09-20
EPI_ISL_5431502	2021-09-26
EPI_ISL_5431519	2021-09-26
EPI_ISL_5431524	2021-09-23
EPI_ISL_5431605	2021-09-23
EPI_ISL_5431608	2021-09-23
EPI_ISL_5431539	2021-09-23
EPI_ISL_5431579	2021-09-25
EPI_ISL_5431395	2021-09-26
EPI_ISL_5431422	2021-09-22
EPI_ISL_5431453	2021-10-01
EPI_ISL_5431471	2021-09-26
EPI_ISL_5431475	2021-09-20
EPI_ISL_5431476	2021-09-21
EPI_ISL_5431479	2021-09-24
EPI_ISL_5431482	2021-09-25
EPI_ISL_5431483	2021-09-21
EPI_ISL_5431457	2021-10-01
EPI_ISL_5431481	2021-09-24
EPI_ISL_5431522	2021-09-26
EPI_ISL_5431552	2021-10-03
EPI_ISL_5543912	2021-09-22
EPI_ISL_5543918	2021-09-27
EPI_ISL_5543925	2021-09-27
EPI_ISL_5543926	2021-09-27
EPI_ISL_5543933	2021-09-27
EPI_ISL_5543956	2021-09-20
EPI_ISL_5543904	2021-09-20
EPI_ISL_5543908	2021-09-23
EPI_ISL_5543910	2021-09-27
EPI_ISL_5544151	2021-09-25
EPI_ISL_5544189	2021-09-26
EPI_ISL_12144493	2021-09-16
EPI_ISL_12144498	2021-09-21
EPI_ISL_12144522	2021-09-25
EPI_ISL_12144505	2021-09-22
EPI_ISL_4632502	2021-09-01
EPI_ISL_4636526	2021-09-10
EPI_ISL_4652929	2021-09-02
EPI_ISL_4653553	2021-09-11
EPI_ISL_4654489	2021-09-13
EPI_ISL_4653558	2021-09-13
EPI_ISL_4654175	2021-09-09
EPI_ISL_4656041	2021-09-12
EPI_ISL_4656337	2021-09-19
EPI_ISL_4655857	2021-09-14
EPI_ISL_4656128	2021-09-15
EPI_ISL_4656133	2021-09-15
EPI_ISL_4656410	2021-09-20
EPI_ISL_4658616	2021-09-17
EPI_ISL_4658609	2021-09-14
EPI_ISL_4658061	2021-09-06
EPI_ISL_4659668	2021-09-08
EPI_ISL_4704371	2021-09-14
