taxa	date
EPI_ISL_3358534	2021-07-09
EPI_ISL_3358541	2021-07-10
EPI_ISL_3358550	2021-07-12
EPI_ISL_3358551	2021-07-12
EPI_ISL_3358570	2021-07-08
EPI_ISL_3358533	2021-07-10
EPI_ISL_3358535	2021-07-09
EPI_ISL_3358537	2021-07-12
EPI_ISL_3358558	2021-07-11
EPI_ISL_3358567	2021-07-07
EPI_ISL_3358569	2021-07-08
EPI_ISL_3358543	2021-07-12
EPI_ISL_3363490	2021-07-26
EPI_ISL_3363509	2021-07-26
EPI_ISL_3363525	2021-07-21
EPI_ISL_3363533	2021-07-26
EPI_ISL_3363537	2021-07-20
EPI_ISL_3363540	2021-07-26
EPI_ISL_3363544	2021-07-26
EPI_ISL_3363555	2021-07-27
EPI_ISL_3363559	2021-07-26
EPI_ISL_3363589	2021-07-27
EPI_ISL_3363597	2021-07-15
EPI_ISL_3363601	2021-07-14
EPI_ISL_3363609	2021-07-27
EPI_ISL_3363669	2021-07-26
EPI_ISL_3363494	2021-07-25
EPI_ISL_3363578	2021-07-26
EPI_ISL_3363585	2021-07-27
EPI_ISL_3363593	2021-07-27
EPI_ISL_3364933	2021-07-15
EPI_ISL_3364896	2021-07-19
EPI_ISL_3364940	2021-07-19
EPI_ISL_3364943	2021-07-22
EPI_ISL_3364995	2021-07-20
EPI_ISL_3364882	2021-07-14
EPI_ISL_3365003	2021-07-18
EPI_ISL_3365007	2021-07-19
EPI_ISL_3364911	2021-07-19
EPI_ISL_3364892	2021-07-20
EPI_ISL_3364907	2021-07-20
EPI_ISL_3364947	2021-07-21
EPI_ISL_3364951	2021-07-21
EPI_ISL_3364975	2021-07-16
EPI_ISL_3364889	2021-07-21
EPI_ISL_3364963	2021-07-20
EPI_ISL_3364999	2021-07-20
EPI_ISL_3365011	2021-07-18
EPI_ISL_3365014	2021-07-15
EPI_ISL_3365030	2021-07-22
EPI_ISL_3365038	2021-07-20
EPI_ISL_3368768	2021-07-20
EPI_ISL_3368850	2021-07-11
EPI_ISL_3368853	2021-07-11
EPI_ISL_3368854	2021-07-11
EPI_ISL_3368857	2021-07-11
EPI_ISL_3368858	2021-07-11
EPI_ISL_3368859	2021-07-12
EPI_ISL_3368862	2021-07-14
EPI_ISL_3368769	2021-07-19
EPI_ISL_3368863	2021-07-14
EPI_ISL_3368779	2021-07-17
EPI_ISL_3368780	2021-07-18
EPI_ISL_3368781	2021-07-17
EPI_ISL_3368783	2021-07-16
EPI_ISL_3368784	2021-07-19
EPI_ISL_3368787	2021-07-17
EPI_ISL_3368789	2021-07-18
EPI_ISL_3368790	2021-07-18
EPI_ISL_3368798	2021-07-15
EPI_ISL_3368800	2021-07-15
EPI_ISL_3368801	2021-07-15
EPI_ISL_3368804	2021-07-18
EPI_ISL_3368806	2021-07-17
EPI_ISL_3368807	2021-07-17
EPI_ISL_3368808	2021-07-16
EPI_ISL_3368408	2021-07-26
EPI_ISL_3368410	2021-07-26
EPI_ISL_3368411	2021-07-26
EPI_ISL_3368412	2021-07-26
EPI_ISL_3368413	2021-07-26
EPI_ISL_3368414	2021-07-26
EPI_ISL_3368415	2021-07-26
EPI_ISL_3368416	2021-07-26
EPI_ISL_3368417	2021-07-27
EPI_ISL_3368421	2021-07-26
EPI_ISL_3368427	2021-07-24
EPI_ISL_3368432	2021-07-24
EPI_ISL_3368433	2021-07-25
EPI_ISL_3368434	2021-07-25
EPI_ISL_3368435	2021-07-25
EPI_ISL_3368440	2021-07-24
EPI_ISL_3368444	2021-07-25
EPI_ISL_3368445	2021-07-25
EPI_ISL_3368447	2021-07-27
EPI_ISL_3368450	2021-07-27
EPI_ISL_3368451	2021-07-26
EPI_ISL_3368452	2021-07-23
EPI_ISL_3368455	2021-07-23
EPI_ISL_3368456	2021-07-21
EPI_ISL_3368457	2021-07-25
EPI_ISL_3368458	2021-07-25
EPI_ISL_3368461	2021-07-19
EPI_ISL_3368462	2021-07-19
EPI_ISL_3368465	2021-07-15
EPI_ISL_3368467	2021-07-22
EPI_ISL_3368468	2021-07-22
EPI_ISL_3368469	2021-07-22
EPI_ISL_3368766	2021-07-19
EPI_ISL_3368767	2021-07-20
EPI_ISL_3368865	2021-07-18
EPI_ISL_3368867	2021-07-17
EPI_ISL_3368870	2021-07-16
EPI_ISL_3368873	2021-07-16
EPI_ISL_3368880	2021-07-13
EPI_ISL_3368881	2021-07-13
EPI_ISL_3368884	2021-07-13
EPI_ISL_3368886	2021-07-07
EPI_ISL_3368890	2021-07-07
EPI_ISL_3368892	2021-07-07
EPI_ISL_3368893	2021-07-07
EPI_ISL_3368894	2021-07-07
EPI_ISL_3368895	2021-07-06
EPI_ISL_3368773	2021-07-17
EPI_ISL_3368860	2021-07-14
EPI_ISL_3368861	2021-07-13
EPI_ISL_3368877	2021-07-12
EPI_ISL_3368407	2021-07-26
EPI_ISL_3368418	2021-07-25
EPI_ISL_3368422	2021-07-26
EPI_ISL_3368425	2021-07-24
EPI_ISL_3368782	2021-07-17
EPI_ISL_3368791	2021-07-18
EPI_ISL_3368846	2021-07-17
EPI_ISL_3368872	2021-07-16
EPI_ISL_3368883	2021-07-13
EPI_ISL_3369317	2021-07-22
EPI_ISL_3369373	2021-07-12
EPI_ISL_3369279	2021-07-22
EPI_ISL_3369280	2021-07-24
EPI_ISL_3369281	2021-07-25
EPI_ISL_3369284	2021-07-26
EPI_ISL_3369286	2021-07-24
EPI_ISL_3369289	2021-07-17
EPI_ISL_3369290	2021-07-20
EPI_ISL_3369296	2021-07-26
EPI_ISL_3369297	2021-07-22
EPI_ISL_3369298	2021-07-22
EPI_ISL_3369299	2021-07-24
EPI_ISL_3369303	2021-07-23
EPI_ISL_3369307	2021-07-26
EPI_ISL_3369310	2021-07-25
EPI_ISL_3369312	2021-07-26
EPI_ISL_3369314	2021-07-25
EPI_ISL_3369320	2021-07-22
EPI_ISL_3369322	2021-07-24
EPI_ISL_3369325	2021-07-22
EPI_ISL_3369337	2021-07-14
EPI_ISL_3369347	2021-07-12
EPI_ISL_3369348	2021-07-12
EPI_ISL_3369349	2021-07-13
EPI_ISL_3369352	2021-07-13
EPI_ISL_3369353	2021-07-13
EPI_ISL_3369354	2021-07-14
EPI_ISL_3369360	2021-07-11
EPI_ISL_3369377	2021-07-11
EPI_ISL_3369383	2021-07-08
EPI_ISL_3369384	2021-07-08
EPI_ISL_3369387	2021-07-12
EPI_ISL_3369392	2021-07-12
EPI_ISL_3369393	2021-07-12
EPI_ISL_3369398	2021-07-12
EPI_ISL_3369404	2021-07-08
EPI_ISL_3369408	2021-07-11
EPI_ISL_3369409	2021-07-11
EPI_ISL_3369410	2021-07-12
EPI_ISL_3369294	2021-07-25
EPI_ISL_3369305	2021-07-26
EPI_ISL_3369311	2021-07-25
EPI_ISL_3369318	2021-07-22
EPI_ISL_3369319	2021-07-22
EPI_ISL_3369381	2021-07-09
EPI_ISL_3369388	2021-07-12
EPI_ISL_3369275	2021-07-26
EPI_ISL_3369316	2021-07-22
EPI_ISL_3369315	2021-07-22
EPI_ISL_1470506	2021-03-17
EPI_ISL_1470491	2021-03-12
EPI_ISL_1470542	2021-03-26
EPI_ISL_1470439	2021-03-17
EPI_ISL_3369357	2021-07-19
EPI_ISL_3369358	2021-07-19
EPI_ISL_3369382	2021-07-08
EPI_ISL_3369389	2021-07-12
EPI_ISL_3369390	2021-07-12
EPI_ISL_3369391	2021-07-11
EPI_ISL_3369394	2021-07-12
EPI_ISL_5010802	2021-09-16
EPI_ISL_5010803	2021-09-16
EPI_ISL_5010683	2021-09-18
EPI_ISL_1541007	2021-03-15
EPI_ISL_3982682	2021-08-03
EPI_ISL_3988248	2021-08-12
EPI_ISL_4635811	2021-08-11
EPI_ISL_4652731	2021-08-27
EPI_ISL_4654022	2021-09-10
EPI_ISL_3536011	2021-07-26
EPI_ISL_3536012	2021-07-27
EPI_ISL_3536016	2021-07-28
EPI_ISL_3536018	2021-07-29
EPI_ISL_3536019	2021-07-28
EPI_ISL_3536103	2021-07-29
EPI_ISL_3536104	2021-07-29
EPI_ISL_3536105	2021-07-30
EPI_ISL_3536115	2021-07-30
EPI_ISL_3536123	2021-08-02
EPI_ISL_3535992	2021-07-27
EPI_ISL_3535994	2021-07-27
EPI_ISL_3535995	2021-07-27
EPI_ISL_3536003	2021-07-23
EPI_ISL_3536005	2021-07-25
EPI_ISL_3536009	2021-07-27
EPI_ISL_3536015	2021-07-26
EPI_ISL_3536020	2021-07-25
EPI_ISL_3536023	2021-07-26
EPI_ISL_3536112	2021-07-28
EPI_ISL_3536116	2021-07-30
EPI_ISL_3536126	2021-07-28
EPI_ISL_3536130	2021-08-01
EPI_ISL_3536139	2021-07-31
EPI_ISL_3536138	2021-07-31
EPI_ISL_3536141	2021-07-30
EPI_ISL_3536142	2021-07-28
EPI_ISL_3536143	2021-07-29
EPI_ISL_3536021	2021-07-26
EPI_ISL_3535997	2021-07-26
