taxa	date
EPI_ISL_5010712	2021-09-17
EPI_ISL_5010775	2021-09-15
EPI_ISL_5010801	2021-09-17
EPI_ISL_5011027	2021-09-13
EPI_ISL_5011033	2021-09-14
EPI_ISL_5011068	2021-09-19
EPI_ISL_5011136	2021-09-18
EPI_ISL_5010792	2021-09-19
EPI_ISL_5011765	2021-09-23
EPI_ISL_4632285	2021-08-30
EPI_ISL_4632318	2021-08-31
EPI_ISL_4632610	2021-08-17
EPI_ISL_4632818	2021-08-31
EPI_ISL_4632852	2021-09-01
EPI_ISL_4632860	2021-09-02
EPI_ISL_4655547	2021-09-07
EPI_ISL_4658040	2021-09-06
EPI_ISL_5411131	2021-09-19
EPI_ISL_5411135	2021-09-20
EPI_ISL_5411174	2021-09-29
EPI_ISL_5411210	2021-09-24
EPI_ISL_5411229	2021-09-23
EPI_ISL_5411230	2021-09-23
EPI_ISL_5411238	2021-09-23
EPI_ISL_5411272	2021-09-22
EPI_ISL_5411314	2021-09-21
EPI_ISL_5421798	2021-09-23
EPI_ISL_12144482	2021-08-19
EPI_ISL_12144477	2021-07-05
EPI_ISL_5431520	2021-09-26
EPI_ISL_5431337	2021-09-21
EPI_ISL_5431400	2021-09-25
EPI_ISL_5431416	2021-09-23
EPI_ISL_5431392	2021-09-23
EPI_ISL_5431465	2021-09-24
EPI_ISL_5431509	2021-09-21
EPI_ISL_5431504	2021-09-20
EPI_ISL_5544279	2021-09-27
EPI_ISL_5544315	2021-09-26
EPI_ISL_5544328	2021-09-26
EPI_ISL_5544225	2021-09-27
EPI_ISL_12014865	2021-08-04
EPI_ISL_3982402	2021-08-14
EPI_ISL_3982426	2021-08-16
EPI_ISL_3982628	2021-08-01
EPI_ISL_3987636	2021-08-06
EPI_ISL_3987641	2021-08-08
EPI_ISL_3987877	2021-08-09
EPI_ISL_3987878	2021-08-09
EPI_ISL_3987880	2021-08-07
EPI_ISL_3987905	2021-08-11
EPI_ISL_3988227	2021-08-04
EPI_ISL_3988236	2021-08-09
EPI_ISL_3987874	2021-08-08
EPI_ISL_3988223	2021-08-03
EPI_ISL_4005007	2021-08-09
EPI_ISL_4005191	2021-08-16
EPI_ISL_4005192	2021-08-02
EPI_ISL_4005193	2021-08-15
EPI_ISL_4005218	2021-08-01
EPI_ISL_4005006	2021-08-09
EPI_ISL_4636497	2021-09-12
EPI_ISL_12144603	2021-09-21
EPI_ISL_12144488	2021-09-19
EPI_ISL_12144464	2021-06-01
EPI_ISL_12144462	2021-05-10
EPI_ISL_12144515	2021-09-24
EPI_ISL_12144510	2021-09-23
EPI_ISL_12144508	2021-09-23
EPI_ISL_12144416	2021-06-28
EPI_ISL_12014863	2021-08-03
EPI_ISL_11976090	2021-08-02
EPI_ISL_11992224	2021-07-06
EPI_ISL_11992231	2021-07-12
EPI_ISL_3185452	2021-07-02
EPI_ISL_3185623	2021-07-11
EPI_ISL_4630485	2021-08-17
EPI_ISL_4630488	2021-08-18
EPI_ISL_4630482	2021-08-16
EPI_ISL_4630484	2021-08-16
EPI_ISL_4632057	2021-09-06
EPI_ISL_4632060	2021-09-05
EPI_ISL_4632246	2021-08-27
EPI_ISL_4632247	2021-08-30
EPI_ISL_4632250	2021-08-30
EPI_ISL_4631686	2021-08-21
EPI_ISL_4631706	2021-08-22
EPI_ISL_4632058	2021-09-06
EPI_ISL_4632238	2021-08-30
EPI_ISL_4632244	2021-08-30
EPI_ISL_4632248	2021-08-30
EPI_ISL_4632252	2021-08-30
EPI_ISL_4632275	2021-08-30
EPI_ISL_4632308	2021-08-24
EPI_ISL_4632311	2021-08-31
EPI_ISL_4632312	2021-08-31
EPI_ISL_4632314	2021-08-31
EPI_ISL_4632480	2021-08-31
EPI_ISL_4632482	2021-08-31
EPI_ISL_4632483	2021-08-31
EPI_ISL_4632536	2021-08-30
EPI_ISL_4632537	2021-08-31
EPI_ISL_4632544	2021-08-25
EPI_ISL_4632548	2021-08-30
EPI_ISL_4632550	2021-08-30
EPI_ISL_4632864	2021-09-03
EPI_ISL_4632879	2021-09-03
EPI_ISL_4632293	2021-08-28
EPI_ISL_4632309	2021-08-31
EPI_ISL_4632315	2021-08-30
EPI_ISL_4632352	2021-08-31
EPI_ISL_4632389	2021-08-23
EPI_ISL_4632417	2021-08-23
EPI_ISL_4632419	2021-08-23
EPI_ISL_4632422	2021-08-22
EPI_ISL_4632423	2021-08-24
EPI_ISL_4632424	2021-08-23
EPI_ISL_4632440	2021-08-30
EPI_ISL_4632485	2021-09-01
EPI_ISL_4632546	2021-08-31
EPI_ISL_4632551	2021-08-31
EPI_ISL_4632851	2021-09-01
EPI_ISL_4632861	2021-08-31
EPI_ISL_4632284	2021-08-30
EPI_ISL_4632316	2021-08-29
EPI_ISL_4632543	2021-08-31
EPI_ISL_4635484	2021-08-25
EPI_ISL_4635490	2021-08-25
EPI_ISL_4635506	2021-08-26
EPI_ISL_4635575	2021-08-27
EPI_ISL_4635596	2021-08-24
EPI_ISL_4635559	2021-08-27
EPI_ISL_4635505	2021-08-26
EPI_ISL_4635748	2021-08-16
EPI_ISL_4635755	2021-08-20
EPI_ISL_4635758	2021-08-21
EPI_ISL_4635761	2021-08-22
EPI_ISL_4635762	2021-08-22
EPI_ISL_4635764	2021-08-23
EPI_ISL_4635799	2021-08-23
