taxa	date
EPI_ISL_4635550	2021-08-26
EPI_ISL_4635551	2021-08-27
EPI_ISL_4635554	2021-08-26
EPI_ISL_4635555	2021-08-25
EPI_ISL_4635556	2021-08-25
EPI_ISL_4635587	2021-08-26
EPI_ISL_4635566	2021-08-26
EPI_ISL_4635769	2021-08-22
EPI_ISL_4636115	2021-09-03
EPI_ISL_4636148	2021-09-04
EPI_ISL_4636152	2021-09-02
EPI_ISL_4636158	2021-09-03
EPI_ISL_4636488	2021-09-08
EPI_ISL_4636489	2021-09-08
EPI_ISL_4636490	2021-09-08
EPI_ISL_4636560	2021-09-02
EPI_ISL_4636561	2021-09-02
EPI_ISL_4636563	2021-08-28
EPI_ISL_4636601	2021-09-03
EPI_ISL_4636603	2021-09-03
EPI_ISL_4636605	2021-09-02
EPI_ISL_4636606	2021-09-02
EPI_ISL_4636610	2021-09-03
EPI_ISL_4649090	2021-08-23
EPI_ISL_4652831	2021-09-04
EPI_ISL_4652832	2021-09-05
EPI_ISL_4652995	2021-09-05
EPI_ISL_4652569	2021-08-27
EPI_ISL_4653498	2021-09-09
EPI_ISL_4653569	2021-09-12
EPI_ISL_4653613	2021-09-07
EPI_ISL_4653671	2021-09-09
EPI_ISL_4653678	2021-09-10
EPI_ISL_4654444	2021-09-09
EPI_ISL_4654480	2021-09-07
EPI_ISL_4654464	2021-09-08
EPI_ISL_4654465	2021-09-08
EPI_ISL_4654475	2021-09-08
EPI_ISL_4653580	2021-09-12
EPI_ISL_4653584	2021-09-10
EPI_ISL_4653643	2021-09-10
EPI_ISL_4653686	2021-09-10
EPI_ISL_4653691	2021-09-08
EPI_ISL_4653574	2021-09-12
EPI_ISL_4653595	2021-09-10
EPI_ISL_4653603	2021-09-08
EPI_ISL_4653620	2021-09-10
EPI_ISL_4653685	2021-09-10
EPI_ISL_4654383	2021-09-10
EPI_ISL_4654389	2021-09-10
EPI_ISL_4654447	2021-09-09
EPI_ISL_4654469	2021-09-07
EPI_ISL_4654474	2021-09-07
EPI_ISL_4655222	2021-09-07
EPI_ISL_4655231	2021-09-06
EPI_ISL_4656000	2021-09-14
EPI_ISL_4656013	2021-09-14
EPI_ISL_4656040	2021-09-14
EPI_ISL_4656057	2021-09-13
EPI_ISL_4656081	2021-09-10
EPI_ISL_4656103	2021-09-15
EPI_ISL_4654990	2021-09-07
EPI_ISL_4654994	2021-09-07
EPI_ISL_4655241	2021-09-07
EPI_ISL_4655492	2021-09-12
EPI_ISL_4655854	2021-09-15
EPI_ISL_4656132	2021-09-10
EPI_ISL_4656235	2021-09-14
EPI_ISL_4656294	2021-09-14
EPI_ISL_4654988	2021-09-07
EPI_ISL_4654995	2021-09-07
EPI_ISL_4655000	2021-09-07
EPI_ISL_4655042	2021-09-09
EPI_ISL_4655237	2021-09-07
EPI_ISL_4655711	2021-09-08
EPI_ISL_4655823	2021-09-14
EPI_ISL_4655996	2021-09-12
EPI_ISL_4656006	2021-09-13
EPI_ISL_4656028	2021-09-14
EPI_ISL_4656056	2021-09-14
EPI_ISL_4656091	2021-09-13
EPI_ISL_4656118	2021-09-14
EPI_ISL_4656175	2021-09-19
EPI_ISL_4656095	2021-09-13
EPI_ISL_4656297	2021-09-14
EPI_ISL_4657923	2021-09-04
EPI_ISL_4658565	2021-09-11
EPI_ISL_4658582	2021-09-15
EPI_ISL_4658004	2021-09-04
EPI_ISL_4658104	2021-09-05
EPI_ISL_4657916	2021-09-04
EPI_ISL_4657917	2021-09-04
EPI_ISL_4658551	2021-09-14
EPI_ISL_4658554	2021-09-14
EPI_ISL_4658670	2021-09-10
EPI_ISL_4657924	2021-09-03
EPI_ISL_4657933	2021-09-01
EPI_ISL_4657941	2021-09-02
EPI_ISL_4658130	2021-09-04
EPI_ISL_4658639	2021-09-13
EPI_ISL_4658643	2021-09-14
EPI_ISL_4658653	2021-09-15
EPI_ISL_4658656	2021-09-14
EPI_ISL_4659593	2021-09-07
EPI_ISL_4659575	2021-09-06
EPI_ISL_4659811	2021-09-07
EPI_ISL_4659814	2021-09-08
EPI_ISL_4659804	2021-09-06
EPI_ISL_4659560	2021-09-08
EPI_ISL_4704166	2021-09-10
EPI_ISL_4704173	2021-09-09
EPI_ISL_4704177	2021-09-13
EPI_ISL_4704206	2021-09-11
EPI_ISL_4704211	2021-09-11
EPI_ISL_4704264	2021-09-10
EPI_ISL_4704224	2021-09-10
EPI_ISL_4704429	2021-09-12
EPI_ISL_4704434	2021-09-09
EPI_ISL_4704478	2021-09-10
EPI_ISL_4704492	2021-09-14
EPI_ISL_4704514	2021-09-11
EPI_ISL_4704528	2021-09-12
EPI_ISL_4704422	2021-09-09
EPI_ISL_4704319	2021-09-12
EPI_ISL_4704238	2021-09-10
EPI_ISL_4704239	2021-09-09
EPI_ISL_4704246	2021-09-06
EPI_ISL_4704258	2021-09-10
EPI_ISL_4704270	2021-09-10
EPI_ISL_4704287	2021-09-12
EPI_ISL_4704288	2021-09-10
EPI_ISL_4704304	2021-09-10
EPI_ISL_4704335	2021-09-09
EPI_ISL_4704350	2021-09-13
EPI_ISL_4704358	2021-09-11
EPI_ISL_4704392	2021-09-11
EPI_ISL_4704451	2021-09-09
EPI_ISL_4704507	2021-09-11
EPI_ISL_4704527	2021-09-12
EPI_ISL_4704548	2021-09-09
EPI_ISL_4704553	2021-09-09
